class_id,train_support,test_support,support_tier,top1_accuracy,recall
0,765,201,head,0.9950248756218906,0.9950248756218906
1,541,144,head,0.9930555555555556,0.9930555555555556
2,537,142,mid,0.9647887323943662,0.9647887323943662
3,540,141,mid,0.9078014184397163,0.9078014184397163
4,540,143,mid,0.8811188811188811,0.8811188811188811
5,540,145,mid,0.9793103448275862,0.9793103448275862
6,537,144,mid,0.9722222222222222,0.9722222222222222
7,538,144,mid,0.9236111111111112,0.9236111111111112
8,541,144,head,0.9583333333333334,0.9583333333333334
9,214,59,tail,0.9830508474576272,0.9830508474576272
10,544,142,head,0.9647887323943662,0.9647887323943662
11,542,144,head,0.9583333333333334,0.9583333333333334
12,314,83,mid,0.963855421686747,0.963855421686747
13,543,143,head,0.965034965034965,0.965034965034965
14,540,143,mid,0.9440559440559441,0.9440559440559441
15,540,141,mid,0.8652482269503546,0.8652482269503546
16,216,59,tail,0.9661016949152542,0.9661016949152542
17,539,144,mid,0.9583333333333334,0.9583333333333334
18,534,145,mid,0.9586206896551724,0.9586206896551724
19,543,143,head,0.9020979020979021,0.9020979020979021
20,543,143,head,0.9440559440559441,0.9440559440559441
21,543,139,head,0.9712230215827338,0.9712230215827338
22,541,142,head,0.9014084507042254,0.9014084507042254
23,537,142,mid,0.9507042253521126,0.9507042253521126
24,216,59,tail,0.9661016949152542,0.9661016949152542
25,540,140,mid,0.9357142857142857,0.9357142857142857
26,539,141,mid,0.9290780141843972,0.9290780141843972
27,538,143,mid,0.993006993006993,0.993006993006993
28,536,142,mid,0.9154929577464789,0.9154929577464789
29,216,59,tail,0.9830508474576272,0.9830508474576272
30,542,142,head,0.9647887323943662,0.9647887323943662
31,538,144,mid,0.9513888888888888,0.9513888888888888
32,216,60,tail,0.95,0.95
33,537,143,mid,0.8881118881118881,0.8881118881118881
34,540,141,mid,0.900709219858156,0.900709219858156
35,540,142,mid,0.9647887323943662,0.9647887323943662
36,538,143,mid,0.9230769230769231,0.9230769230769231
37,216,59,tail,0.9830508474576272,0.9830508474576272
38,539,144,mid,0.9930555555555556,0.9930555555555556
39,539,140,mid,0.9428571428571428,0.9428571428571428
40,536,142,mid,0.9225352112676056,0.9225352112676056
41,540,141,mid,0.8865248226950354,0.8865248226950354
42,538,142,mid,0.9859154929577465,0.9859154929577465
43,540,142,mid,0.9577464788732394,0.9577464788732394
44,216,59,tail,0.9830508474576272,0.9830508474576272
