target,target_label,prediction,prediction_label,count
656,口,999,囗,68
1184,士,598,卤,52
5828,赢,5445,蠃,51
660,叨,678,叼,48
1370,子,1371,孑,46
3623,玫,3616,玟,43
51,之,6021,辶,40
1620,已,1619,己,37
1621,巳,1620,已,36
6397,锉,4016,矬,35
480,刺,490,剌,34
2512,曰,2418,日,34
5524,裸,4158,祼,34
5649,诛,3064,洙,32
5677,诸,3190,渚,32
5680,读,3184,渎,32
7033,鸣,739,呜,32
5145,萎,5186,蒌,31
5666,语,3116,浯,31
1027,土,598,卤,30
2235,掰,2290,搿,30
2496,暖,2499,暧,30
3970,睛,2485,晴,30
5697,谍,3198,渫,30
7030,鸠,7038,鸩,29
199,余,198,佘,28
3062,洒,6201,酒,28
5700,谐,3216,湝,28
576,千,1667,干,27
3864,瘦,3853,瘐,27
739,呜,7033,鸣,26
3104,浙,3155,淅,26
3191,渝,5705,谕,26
5620,讽,3001,沨,26
5671,诲,3118,海,26
3055,洁,5646,诘,25
3063,洗,418,冼,25
3083,洼,5644,诖,25
3113,浩,5669,诰,25
4747,育,4727,肓,25
5656,询,3079,洵,25
5719,谤,3250,滂,25
7029,鸟,52,乌,25
1210,夭,1206,天,24
1456,寸,2053,扌,24
3099,浑,5662,诨,24
5106,获,5107,莸,24
5372,蜓,5371,蜒,24
1857,思,1888,恩,23
3014,沽,5625,诂,23
3481,父,2352,攵,23
3935,盹,4742,肫,23
4264,竞,4265,竟,23
5674,诵,3125,涌,23
5732,谱,3315,潽,23
2485,晴,3970,睛,22
5691,谆,3175,淳,22
6085,逢,6064,逄,22
1829,快,1849,怏,21
2418,日,2512,曰,21
2949,汆,2945,氽,21
2956,汕,5604,讪,21
2997,沤,5612,讴,21
3021,泊,3060,洎,21
4296,第,4295,笫,21
5595,计,2947,汁,21
415,冶,3012,治,20
3284,漠,5714,谟,20
4265,竟,4264,竞,20
5483,袄,4134,祆,20
5651,话,3082,活,20
5652,诞,3126,涎,20
5703,谓,3199,渭,20
5724,谩,3288,漫,20
1185,壬,3608,王,19
2957,汗,5600,讦,19
3009,河,5626,诃,19
3180,清,5676,请,19
3275,滴,5725,谪,19
4338,算,4332,箅,19
5249,蕴,5247,蕰,19
5608,讯,2958,汛,19
5686,谁,3173,淮,19
60,乖,61,乘,18
2946,汀,5596,订,18
2962,江,5601,讧,18
3013,沼,5637,诏,18
3035,波,5638,诐,18
3884,癞,3886,癫,18
4411,粱,2695,梁,18
5596,订,2946,汀,18
6213,酪,6212,酩,18
6277,钉,6280,钌,18
2423,旬,3755,甸,17
2484,晳,3902,皙,17
2650,栗,4405,粟,17
2947,汁,5595,计,17
3172,淬,5692,谇,17
3214,湛,5696,谌,17
4001,瞳,2505,曈,17
5676,请,3180,清,17
5728,谭,3307,潭,17
5731,谰,3322,澜,17
6025,迁,6026,迂,17
6413,错,6411,锗,17
6423,锤,6444,锺,17
52,乌,7029,鸟,16
99,亨,101,享,16
1277,姐,1270,妲,16
1619,己,1620,已,16
2074,扶,2083,抉,16
2612,柏,2680,桕,16
2780,榛,2764,楱,16
2958,汛,5608,讯,16
3476,爪,3717,瓜,16
4725,肋,523,助,16
5628,诅,3006,沮,16
5693,谈,3168,淡,16
6576,陈,6564,阵,16
449,刁,448,刀,15
807,哗,805,哔,15
1048,坎,1056,坝,15
2083,抉,2074,扶,15
2987,沐,3005,沭,15
3125,涌,5674,诵,15
3199,渭,5703,谓,15
3909,盂,1382,孟,15
4436,系,4435,糸,15
4947,芒,4952,芝,15
5041,茵,5118,菌,15
152,份,172,伤,14
192,住,6615,隹,14
416,冷,3033,泠,14
539,勒,543,勤,14
1144,堤,2249,提,14
1888,恩,1857,思,14
1934,惊,1933,惇,14
2952,汉,2953,汊,14
3118,海,5671,诲,14
3175,淳,5691,谆,14
3902,皙,2484,晳,14
4754,肿,4757,胂,14
4769,胜,4808,脞,14
4775,胧,3954,眬,14
4951,芜,4961,芫,14
4996,苟,4992,苘,14
5042,茶,5082,荼,14
5605,讫,2955,汔,14
5618,论,2999,沦,14
5621,设,2995,没,14
5828,赢,1367,嬴,14
5864,跌,5856,趺,14
