target,target_label,prediction,prediction_label,count
6397,锉,4016,矬,67
2780,榛,2764,楱,44
660,叨,678,叼,39
656,口,999,囗,38
2512,曰,2418,日,35
3864,瘦,3853,瘐,34
3970,睛,2485,晴,34
7033,鸣,739,呜,34
1620,已,1619,己,31
3481,父,2352,攵,28
3623,玫,3616,玟,28
2235,掰,2290,搿,27
5677,诸,3190,渚,27
51,之,6021,辶,26
4001,瞳,2505,曈,26
576,千,1667,干,25
2946,汀,5596,订,25
480,刺,490,剌,24
1210,夭,1206,天,24
3082,活,5651,话,24
5524,裸,4158,祼,24
1184,士,598,卤,23
5719,谤,3250,滂,23
7029,鸟,52,乌,23
1370,子,1371,孑,22
3083,洼,5644,诖,22
3199,渭,5703,谓,22
5674,诵,3125,涌,22
2496,暖,2499,暧,21
2949,汆,2945,氽,21
3180,清,5676,请,21
4411,粱,2695,梁,21
5666,语,3116,浯,21
5680,读,3184,渎,21
1619,己,1620,已,20
2418,日,2512,曰,20
2947,汁,5595,计,20
3099,浑,5662,诨,20
3113,浩,5669,诰,20
3191,渝,5705,谕,20
3275,滴,5725,谪,20
3902,皙,2484,晳,20
4947,芒,4952,芝,20
5483,袄,4134,祆,20
5595,计,2947,汁,20
5700,谐,3216,湝,20
3118,海,5671,诲,19
5671,诲,3118,海,19
5703,谓,3199,渭,19
2074,扶,2083,抉,18
2908,毫,106,亳,18
3055,洁,5646,诘,18
3063,洗,418,冼,18
3125,涌,5674,诵,18
3235,溢,5720,谥,18
3623,玫,3612,玖,18
5724,谩,3288,漫,18
449,刁,448,刀,17
1621,巳,1620,已,17
2997,沤,5612,讴,17
4338,算,4332,箅,17
5649,诛,3064,洙,17
5660,详,3058,洋,17
5697,谍,3198,渫,17
5728,谭,3307,潭,17
5732,谱,3315,潽,17
6025,迁,6026,迂,17
6576,陈,6564,阵,17
60,乖,61,乘,16
1144,堤,2249,提,16
1185,壬,3608,王,16
1277,姐,1270,妲,16
2999,沦,5618,论,16
3284,漠,5714,谟,16
3288,漫,5724,谩,16
4264,竞,4265,竟,16
4996,苟,4992,苘,16
5618,论,2999,沦,16
5628,诅,3006,沮,16
5652,诞,3126,涎,16
5676,请,3180,清,16
739,呜,7033,鸣,15
1620,已,1621,巳,15
1796,徘,4529,绯,15
2967,汩,2966,汨,15
3009,河,5626,诃,15
3058,洋,5660,详,15
3126,涎,5652,诞,15
3173,淮,5686,谁,15
3175,淳,5691,谆,15
3214,湛,5696,谌,15
4725,肋,523,助,15
5372,蜓,5371,蜒,15
5621,设,2995,没,15
99,亨,101,享,14
415,冶,3012,治,14
1888,恩,1857,思,14
2995,没,5621,设,14
3062,洒,6201,酒,14
3063,洗,5650,诜,14
3307,潭,5728,谭,14
3935,盹,4742,肫,14
4747,育,4727,肓,14
5106,获,5107,莸,14
