class_id,train_support,test_support,support_tier,top1_accuracy,recall
0,765,201,head,0.9950248756218906,0.9950248756218906
1,541,144,head,0.9930555555555556,0.9930555555555556
2,537,142,mid,0.9647887323943662,0.9647887323943662
3,540,141,mid,0.9148936170212766,0.9148936170212766
4,540,143,mid,0.9300699300699301,0.9300699300699301
5,540,145,mid,0.9793103448275862,0.9793103448275862
6,537,144,mid,0.9583333333333334,0.9583333333333334
7,538,144,mid,0.9097222222222222,0.9097222222222222
8,541,144,head,0.9722222222222222,0.9722222222222222
9,214,59,tail,0.9830508474576272,0.9830508474576272
10,544,142,head,0.9647887323943662,0.9647887323943662
11,542,144,head,0.9722222222222222,0.9722222222222222
12,314,83,mid,1.0,1.0
13,543,143,head,0.9790209790209791,0.9790209790209791
14,540,143,mid,0.986013986013986,0.986013986013986
15,540,141,mid,0.8652482269503546,0.8652482269503546
16,216,59,tail,0.9830508474576272,0.9830508474576272
17,539,144,mid,0.9652777777777778,0.9652777777777778
18,534,145,mid,0.9724137931034482,0.9724137931034482
19,543,143,head,0.972027972027972,0.972027972027972
20,543,143,head,0.958041958041958,0.958041958041958
21,543,139,head,0.9856115107913669,0.9856115107913669
22,541,142,head,0.9295774647887324,0.9295774647887324
23,537,142,mid,0.9788732394366197,0.9788732394366197
24,216,59,tail,1.0,1.0
25,540,140,mid,0.9642857142857143,0.9642857142857143
26,539,141,mid,0.9361702127659575,0.9361702127659575
27,538,143,mid,0.9790209790209791,0.9790209790209791
28,536,142,mid,0.9295774647887324,0.9295774647887324
29,216,59,tail,1.0,1.0
30,542,142,head,0.971830985915493,0.971830985915493
31,538,144,mid,0.9791666666666666,0.9791666666666666
32,216,60,tail,0.9666666666666667,0.9666666666666667
33,537,143,mid,0.9370629370629371,0.9370629370629371
34,540,141,mid,0.950354609929078,0.950354609929078
35,540,142,mid,0.9859154929577465,0.9859154929577465
36,538,143,mid,0.958041958041958,0.958041958041958
37,216,59,tail,1.0,1.0
38,539,144,mid,0.9930555555555556,0.9930555555555556
39,539,140,mid,0.9642857142857143,0.9642857142857143
40,536,142,mid,0.9366197183098591,0.9366197183098591
41,540,141,mid,0.9219858156028369,0.9219858156028369
42,538,142,mid,0.9859154929577465,0.9859154929577465
43,540,142,mid,0.971830985915493,0.971830985915493
44,216,59,tail,0.9830508474576272,0.9830508474576272
45,213,60,tail,0.9333333333333333,0.9333333333333333
