class_id,train_support,test_support,support_tier,top1_accuracy,recall
0,765,201,head,0.9900497512437811,0.9900497512437811
1,541,144,head,0.9930555555555556,0.9930555555555556
2,537,142,mid,0.9366197183098591,0.9366197183098591
3,540,141,mid,0.900709219858156,0.900709219858156
4,540,143,mid,0.9090909090909091,0.9090909090909091
5,540,145,mid,0.9586206896551724,0.9586206896551724
6,537,144,mid,0.9722222222222222,0.9722222222222222
7,538,144,mid,0.9375,0.9375
8,541,144,head,0.9444444444444444,0.9444444444444444
9,214,59,tail,0.9661016949152542,0.9661016949152542
10,544,142,head,0.9225352112676056,0.9225352112676056
11,542,144,head,0.9583333333333334,0.9583333333333334
12,314,83,mid,0.963855421686747,0.963855421686747
13,543,143,head,0.972027972027972,0.972027972027972
14,540,143,mid,0.958041958041958,0.958041958041958
15,540,141,mid,0.8226950354609929,0.8226950354609929
16,216,59,tail,1.0,1.0
17,539,144,mid,0.9722222222222222,0.9722222222222222
18,534,145,mid,0.9655172413793104,0.9655172413793104
19,543,143,head,0.9440559440559441,0.9440559440559441
20,543,143,head,0.951048951048951,0.951048951048951
21,543,139,head,0.9712230215827338,0.9712230215827338
22,541,142,head,0.9154929577464789,0.9154929577464789
23,537,142,mid,0.9647887323943662,0.9647887323943662
24,216,59,tail,0.9830508474576272,0.9830508474576272
25,540,140,mid,0.9714285714285714,0.9714285714285714
26,539,141,mid,0.9219858156028369,0.9219858156028369
27,538,143,mid,0.9790209790209791,0.9790209790209791
28,536,142,mid,0.9225352112676056,0.9225352112676056
29,216,59,tail,0.9661016949152542,0.9661016949152542
30,542,142,head,0.9647887323943662,0.9647887323943662
31,538,144,mid,0.9444444444444444,0.9444444444444444
32,216,60,tail,0.95,0.95
33,537,143,mid,0.9230769230769231,0.9230769230769231
34,540,141,mid,0.9290780141843972,0.9290780141843972
35,540,142,mid,0.9647887323943662,0.9647887323943662
36,538,143,mid,0.965034965034965,0.965034965034965
37,216,59,tail,0.9830508474576272,0.9830508474576272
38,539,144,mid,0.9861111111111112,0.9861111111111112
39,539,140,mid,0.95,0.95
40,536,142,mid,0.9366197183098591,0.9366197183098591
41,540,141,mid,0.900709219858156,0.900709219858156
42,538,142,mid,0.9859154929577465,0.9859154929577465
43,540,142,mid,0.9647887323943662,0.9647887323943662
44,216,59,tail,0.9830508474576272,0.9830508474576272
45,213,60,tail,0.9333333333333333,0.9333333333333333
46,535,142,mid,0.9366197183098591,0.9366197183098591
47,541,144,head,0.9166666666666666,0.9166666666666666
48,216,57,tail,0.9122807017543859,0.9122807017543859
49,533,144,mid,0.9236111111111112,0.9236111111111112
50,540,144,mid,0.9097222222222222,0.9097222222222222
51,543,145,head,0.7586206896551724,0.7586206896551724
52,540,143,mid,0.8951048951048951,0.8951048951048951
53,540,143,mid,0.958041958041958,0.958041958041958
54,540,142,mid,0.8591549295774648,0.8591549295774648
55,539,142,mid,0.9225352112676056,0.9225352112676056
56,538,142,mid,0.9366197183098591,0.9366197183098591
57,521,140,mid,0.8785714285714286,0.8785714285714286
58,531,143,mid,0.9020979020979021,0.9020979020979021
59,539,143,mid,0.9790209790209791,0.9790209790209791
60,513,135,mid,0.8296296296296296,0.8296296296296296
61,549,141,head,0.9290780141843972,0.9290780141843972
62,537,144,mid,0.9652777777777778,0.9652777777777778
63,211,60,tail,0.9833333333333333,0.9833333333333333
64,541,143,head,0.972027972027972,0.972027972027972
65,534,143,mid,0.951048951048951,0.951048951048951
66,542,144,head,0.9861111111111112,0.9861111111111112
67,540,143,mid,0.951048951048951,0.951048951048951
68,537,144,mid,0.9722222222222222,0.9722222222222222
69,537,143,mid,0.9440559440559441,0.9440559440559441
70,215,60,tail,0.9833333333333333,0.9833333333333333
71,537,143,mid,0.9300699300699301,0.9300699300699301
72,540,142,mid,0.9859154929577465,0.9859154929577465
73,540,142,mid,0.9788732394366197,0.9788732394366197
74,538,144,mid,1.0,1.0
75,538,143,mid,0.958041958041958,0.958041958041958
76,542,143,head,0.965034965034965,0.965034965034965
77,540,144,mid,0.9652777777777778,0.9652777777777778
78,539,141,mid,0.9645390070921985,0.9645390070921985
79,542,142,head,0.9225352112676056,0.9225352112676056
80,215,58,tail,0.9482758620689655,0.9482758620689655
81,543,145,head,0.903448275862069,0.903448275862069
82,537,144,mid,0.9027777777777778,0.9027777777777778
83,541,144,head,0.9444444444444444,0.9444444444444444
84,541,142,head,0.9647887323943662,0.9647887323943662
85,216,60,tail,0.9833333333333333,0.9833333333333333
86,538,143,mid,0.9020979020979021,0.9020979020979021
87,540,142,mid,0.9577464788732394,0.9577464788732394
88,216,59,tail,1.0,1.0
89,540,143,mid,0.986013986013986,0.986013986013986
90,534,143,mid,0.965034965034965,0.965034965034965
91,216,59,tail,0.9491525423728814,0.9491525423728814
92,215,58,tail,0.9827586206896551,0.9827586206896551
93,541,144,head,0.9166666666666666,0.9166666666666666
94,538,143,mid,0.951048951048951,0.951048951048951
95,540,142,mid,0.9647887323943662,0.9647887323943662
96,538,140,mid,0.9785714285714285,0.9785714285714285
97,542,143,head,0.9020979020979021,0.9020979020979021
98,540,142,mid,0.9436619718309859,0.9436619718309859
99,518,137,mid,0.8394160583941606,0.8394160583941606
100,535,143,mid,0.965034965034965,0.965034965034965
101,541,142,head,0.9225352112676056,0.9225352112676056
102,541,144,head,0.875,0.875
103,539,142,mid,0.9647887323943662,0.9647887323943662
104,539,143,mid,0.965034965034965,0.965034965034965
105,537,144,mid,0.9236111111111112,0.9236111111111112
106,215,59,tail,0.864406779661017,0.864406779661017
107,216,58,tail,1.0,1.0
108,214,60,tail,0.9833333333333333,0.9833333333333333
109,216,60,tail,0.9833333333333333,0.9833333333333333
110,538,144,mid,0.9583333333333334,0.9583333333333334
111,216,60,tail,0.9666666666666667,0.9666666666666667
112,542,143,head,0.958041958041958,0.958041958041958
113,535,144,mid,0.9166666666666666,0.9166666666666666
114,535,144,mid,0.9375,0.9375
115,216,59,tail,0.9322033898305084,0.9322033898305084
116,216,60,tail,0.9833333333333333,0.9833333333333333
117,214,59,tail,0.9491525423728814,0.9491525423728814
118,542,143,head,0.8811188811188811,0.8811188811188811
119,537,144,mid,0.9791666666666666,0.9791666666666666
120,540,140,mid,0.9285714285714286,0.9285714285714286
121,217,60,mid,0.9833333333333333,0.9833333333333333
122,540,144,mid,0.9236111111111112,0.9236111111111112
123,540,142,mid,0.9084507042253521,0.9084507042253521
124,537,144,mid,0.9652777777777778,0.9652777777777778
125,539,142,mid,0.9577464788732394,0.9577464788732394
126,536,143,mid,0.9370629370629371,0.9370629370629371
127,542,143,head,0.9230769230769231,0.9230769230769231
128,539,143,mid,0.965034965034965,0.965034965034965
129,535,143,mid,0.8391608391608392,0.8391608391608392
130,536,143,mid,0.958041958041958,0.958041958041958
131,541,144,head,0.9652777777777778,0.9652777777777778
132,540,142,mid,0.9225352112676056,0.9225352112676056
133,541,142,head,0.9436619718309859,0.9436619718309859
134,216,59,tail,0.9661016949152542,0.9661016949152542
135,216,60,tail,0.9833333333333333,0.9833333333333333
136,533,143,mid,0.8741258741258742,0.8741258741258742
137,216,59,tail,0.9661016949152542,0.9661016949152542
138,540,140,mid,0.9428571428571428,0.9428571428571428
139,536,143,mid,0.9090909090909091,0.9090909090909091
140,539,143,mid,0.951048951048951,0.951048951048951
141,216,60,tail,0.9833333333333333,0.9833333333333333
142,539,143,mid,0.916083916083916,0.916083916083916
143,216,60,tail,1.0,1.0
144,535,143,mid,0.951048951048951,0.951048951048951
145,538,143,mid,0.9370629370629371,0.9370629370629371
146,539,144,mid,0.9236111111111112,0.9236111111111112
147,216,60,tail,1.0,1.0
148,215,60,tail,0.9666666666666667,0.9666666666666667
149,537,140,mid,0.9071428571428571,0.9071428571428571
150,536,143,mid,0.965034965034965,0.965034965034965
151,541,144,head,0.8958333333333334,0.8958333333333334
152,541,142,head,0.8661971830985915,0.8661971830985915
153,539,141,mid,0.9148936170212766,0.9148936170212766
154,538,144,mid,0.9722222222222222,0.9722222222222222
155,216,60,tail,0.95,0.95
156,537,144,mid,0.9722222222222222,0.9722222222222222
157,216,60,tail,0.9666666666666667,0.9666666666666667
158,537,142,mid,0.9225352112676056,0.9225352112676056
159,535,141,mid,0.9219858156028369,0.9219858156028369
160,542,141,head,0.9290780141843972,0.9290780141843972
161,536,142,mid,0.9295774647887324,0.9295774647887324
162,533,141,mid,0.851063829787234,0.851063829787234
163,540,143,mid,0.986013986013986,0.986013986013986
164,542,143,head,0.9300699300699301,0.9300699300699301
165,535,143,mid,0.951048951048951,0.951048951048951
166,540,141,mid,0.9361702127659575,0.9361702127659575
167,216,60,tail,1.0,1.0
168,538,143,mid,0.9440559440559441,0.9440559440559441
169,541,144,head,0.9652777777777778,0.9652777777777778
170,540,142,mid,0.9225352112676056,0.9225352112676056
171,216,59,tail,0.9830508474576272,0.9830508474576272
172,536,144,mid,0.9236111111111112,0.9236111111111112
173,216,59,tail,0.9661016949152542,0.9661016949152542
174,540,143,mid,0.8951048951048951,0.8951048951048951
175,216,60,tail,0.9833333333333333,0.9833333333333333
176,541,143,head,0.9020979020979021,0.9020979020979021
177,216,60,tail,1.0,1.0
178,543,142,head,0.9014084507042254,0.9014084507042254
179,541,142,head,0.8873239436619719,0.8873239436619719
180,216,60,tail,0.9666666666666667,0.9666666666666667
181,542,142,head,0.9084507042253521,0.9084507042253521
182,536,142,mid,0.8873239436619719,0.8873239436619719
183,539,142,mid,0.9154929577464789,0.9154929577464789
184,535,140,mid,0.8785714285714286,0.8785714285714286
185,538,140,mid,0.95,0.95
186,216,60,tail,0.9833333333333333,0.9833333333333333
187,216,60,tail,0.9333333333333333,0.9333333333333333
188,538,138,mid,0.9782608695652174,0.9782608695652174
189,541,142,head,0.9436619718309859,0.9436619718309859
190,540,142,mid,0.9295774647887324,0.9295774647887324
191,539,142,mid,0.9295774647887324,0.9295774647887324
192,539,143,mid,0.7972027972027972,0.7972027972027972
193,537,142,mid,0.971830985915493,0.971830985915493
194,543,143,head,0.9230769230769231,0.9230769230769231
195,540,142,mid,0.9366197183098591,0.9366197183098591
