run_id,seed,model,classification_head,reparameterize_depthwise,device,parameter_count,estimated_macs,estimated_flops,flop_coverage_complete,eager_batch1_p50_ms,eager_batch1_p95_ms,optimized_parameter_count,optimized_estimated_macs,optimized_estimated_flops,optimized_flop_coverage_complete,optimized_batch1_p50_ms,optimized_batch1_p95_ms,checkpoint_sha256
20260913T114748Z-d2e5e0a9,7,efficient_hccr,cosface,False,cuda,2715360,128351360,272698039,True,1.8741999956546351,3.448999996180646,2712320,128351360,267646199,True,1.339499998721294,2.631199997267686,c9fff0fc59281dac12a073992748068e51ef8b2ae4cee4b78c3b6f27fe7f76d8
20260913T161718Z-010aca1f,17,efficient_hccr,cosface,False,cuda,2715360,128351360,272698039,True,1.8854000009014271,3.2628999979351647,2712320,128351360,267646199,True,1.4381999935721979,2.659899997524917,a68bd2e8eed84ab42f17a586916ee7706419d2bae079e72413b1887654982a30
20260913T204726Z-7a8640ae,29,efficient_hccr,cosface,False,cuda,2715360,128351360,272698039,True,2.0450000010896474,3.499400001601316,2712320,128351360,267646199,True,1.4164000021992251,2.5793999957386404,2e579a5344b74494eef112bdf61b3dde4aca98397f5445cfbf6b74780a53e2c7
20260914T055805Z-fd15c1fa,7,efficientnet_b0,cosface,False,cuda,13205052,79011808,169640543,True,8.0690999966464,11.442800001532305,13205052,79011808,169640543,True,8.241399998951238,11.590699999942444,773f4eca2eecb663294c25a643b53fe438023a195f3d651dd5e1c1ffa7a2b8db
20260914T121353Z-45eeedc8,17,efficientnet_b0,cosface,False,cuda,13205052,79011808,169640543,True,8.290800004033372,11.323999999149237,13205052,79011808,169640543,True,7.997100001375657,11.28860000608256,5414359cbe4a4ccb528df4b69c62d0a10d07a25eb85700c273456aff32685a3a
20260914T183224Z-002c745f,29,efficientnet_b0,cosface,False,cuda,13205052,79011808,169640543,True,8.09589999698801,11.588199995458126,13205052,79011808,169640543,True,8.15580000198679,11.297900004137773,d9fe99a919cfa6499015ecb4059963487fb3106c9a78755dc1bd44a808f812cb
20260913T191551Z-65601f65,7,mobilenet_v3_small,cosface,False,cuda,8876032,17742272,37517215,True,5.503100001078565,8.345500005816575,8876032,17742272,37517215,True,5.309799998940434,7.773699995595962,87fddec95f049a34edfc2665a1e39c8fa103dc6424a1df8ace59214a00c665c4
20260913T225308Z-d5c6a2be,17,mobilenet_v3_small,cosface,False,cuda,8876032,17742272,37517215,True,5.491600000823382,8.438500000920612,8876032,17742272,37517215,True,5.371199993533082,8.034899998165201,c99b925dc8eaff5484bd172d63c46355a7ac6e950dc09ccada779f8a21b79ef1
20260914T022812Z-dfe2412b,29,mobilenet_v3_small,cosface,False,cuda,8876032,17742272,37517215,True,5.302400000800844,7.720000001427252,8876032,17742272,37517215,True,5.360800001653843,8.418099998380058,4582915e01d114a9944b2fa2a5e9ca515e5e82dcdc739961f8bf50260e02f7c9
20260913T114748Z-064d3b6b,7,resnet18,cosface,False,cuda,14849472,322331648,647382455,True,2.4062000011326745,3.5778999954345636,14849472,322331648,647382455,True,2.4209999974118546,4.281900000933092,c6cb432ab088c69141bd5bf9f93d3510ec43c9236ba35a2f07d8b7c12e62f276
20260913T141457Z-dc1f3121,17,resnet18,cosface,False,cuda,14849472,322331648,647382455,True,2.485999997588806,4.097699995327275,14849472,322331648,647382455,True,2.414800001133699,3.618599999754224,ad2899a76eac5cdfb716b5f7adc242b5cbe0f043ea3335e134f15cccf2fd4970
20260913T164520Z-301a9fa4,29,resnet18,cosface,False,cuda,14849472,322331648,647382455,True,2.648999994562473,4.499800001212861,14849472,322331648,647382455,True,2.6152999998885207,4.250300000421703,9e80ef5950e435e169e4dd781862d0e84db7ae03048bb14febf1668263013583
20260915T145404Z-37829cdf,7,shufflenet_v2_x1_0,cosface,False,cuda,8611636,32790808,67448347,True,5.8789999966393225,8.829599995806348,8611636,32790808,67448347,True,5.891199994948693,8.742499994696118,0f59f52aef3e151807100f5c50db027a7929a75814c68f319379b3443be1ef00
20260915T184306Z-1564e685,17,shufflenet_v2_x1_0,cosface,False,cuda,8611636,32790808,67448347,True,6.428199994843453,9.0076999986195,8611636,32790808,67448347,True,5.821899998409208,8.485300000756979,ab9f7210956a27ce2ef0a95e417ec78d89468ff0f4ea89669d47e04404fe8707
20260915T223232Z-d74ef695,29,shufflenet_v2_x1_0,cosface,False,cuda,8611636,32790808,67448347,True,5.851699999766424,8.467200001177844,8611636,32790808,67448347,True,5.892400004086085,8.661200001370162,f54b590cb00016d67e8b63849ee5a1be8db03c778f40206ed4d98e3f115d47d4
