target,target_label,prediction,prediction_label,count
656,口,999,囗,84
5828,赢,5445,蠃,54
1370,子,1371,孑,53
660,叨,678,叼,47
5677,诸,3190,渚,43
480,刺,490,剌,42
1184,士,598,卤,41
1027,土,598,卤,37
7033,鸣,739,呜,37
2235,掰,2290,搿,36
2496,暖,2499,暧,36
3623,玫,3616,玟,36
5649,诛,3064,洙,36
7030,鸠,7038,鸩,36
51,之,6021,辶,35
3970,睛,2485,晴,35
5620,讽,3001,沨,35
5666,语,3116,浯,35
5697,谍,3198,渫,35
6397,锉,4016,矬,35
3104,浙,3155,淅,34
3864,瘦,3853,瘐,33
5483,袄,4134,祆,33
5524,裸,4158,祼,33
2780,榛,2764,楱,32
5595,计,2947,汁,32
5680,读,3184,渎,32
5700,谐,3216,湝,32
2512,曰,2418,日,31
3481,父,2352,攵,31
1620,已,1619,己,30
5719,谤,3250,滂,30
1456,寸,2053,扌,29
3063,洗,418,冼,29
1621,巳,1620,已,28
5671,诲,3118,海,28
199,余,198,佘,27
576,千,1667,干,27
3055,洁,5646,诘,27
3275,滴,5725,谪,26
3009,河,5626,诃,25
3021,泊,3060,洎,25
4338,算,4332,箅,25
5732,谱,3315,潽,25
1210,夭,1206,天,24
2957,汗,5600,讦,24
3083,洼,5644,诖,24
3191,渝,5705,谕,24
739,呜,7033,鸣,23
1619,己,1620,已,23
2949,汆,2945,氽,23
3062,洒,6201,酒,23
3099,浑,5662,诨,23
3113,浩,5669,诰,23
2956,汕,5604,讪,22
5042,茶,5082,荼,22
5596,订,2946,汀,22
5656,询,3079,洵,22
5691,谆,3175,淳,22
5728,谭,3307,潭,22
1829,快,1849,怏,21
2418,日,2512,曰,21
2958,汛,5608,讯,21
2962,江,5601,讧,21
3082,活,5651,话,21
3180,清,5676,请,21
3284,漠,5714,谟,21
4264,竞,4265,竟,21
4747,育,4727,肓,21
4754,肿,4757,胂,21
5034,茫,5039,茳,21
5106,获,5107,莸,21
5651,话,3082,活,21
6213,酪,6212,酩,21
415,冶,3012,治,20
2074,扶,2083,抉,20
2485,晴,3970,睛,20
2564,来,4677,耒,20
2612,柏,2680,桕,20
2908,毫,106,亳,20
2987,沐,3005,沭,20
3172,淬,5692,谇,20
4296,第,4295,笫,20
4411,粱,2695,梁,20
5145,萎,5186,蒌,20
5628,诅,3006,沮,20
5652,诞,3126,涎,20
7029,鸟,52,乌,20
1185,壬,3608,王,19
2997,沤,5612,讴,19
3014,沽,5625,诂,19
3035,波,5638,诐,19
3447,熄,3453,熜,19
3935,盹,4742,肫,19
5249,蕴,5247,蕰,19
5621,设,2995,没,19
5674,诵,3125,涌,19
5676,请,3180,清,19
5703,谓,3199,渭,19
5724,谩,3288,漫,19
6085,逢,6064,逄,19
3118,海,5671,诲,18
5372,蜓,5371,蜒,18
5864,跌,5856,趺,18
6237,醒,6219,酲,18
52,乌,7029,鸟,17
2946,汀,5596,订,17
3063,洗,5650,诜,17
3126,涎,5652,诞,17
3814,疽,3811,疸,17
4265,竟,4264,竞,17
4436,系,4435,糸,17
4725,肋,523,助,17
5052,草,5141,萆,17
5686,谁,3173,淮,17
60,乖,61,乘,16
99,亨,101,享,16
449,刁,448,刀,16
719,吹,735,呗,16
2105,抵,2076,扺,16
2581,构,2607,枸,16
3214,湛,5696,谌,16
3235,溢,5720,谥,16
5106,获,5081,荻,16
5605,讫,2955,汔,16
6576,陈,6564,阵,16
153,仿,1777,彷,15
279,倍,262,信,15
684,合,375,兮,15
1620,已,1621,巳,15
1796,徘,4529,绯,15
1857,思,1888,恩,15
1905,悄,1941,惝,15
2947,汁,5595,计,15
3012,治,5640,诒,15
3623,玫,3612,玖,15
3902,皙,2484,晳,15
4001,瞳,2505,曈,15
5693,谈,3168,淡,15
5828,赢,1367,嬴,15
252,俏,284,倘,14
539,勒,543,勤,14
807,哗,805,哔,14
1144,堤,2249,提,14
3039,泪,2966,汨,14
3125,涌,5674,诵,14
3199,渭,5703,谓,14
3322,澜,5731,谰,14
3884,癞,3886,癫,14
4735,肠,2432,旸,14
4775,胧,3954,眬,14
4854,膛,3992,瞠,14
4996,苟,4992,苘,14
5041,茵,5118,菌,14
6368,铬,6369,铭,14
6399,锋,6343,铎,14
6423,锤,6444,锺,14
192,住,6615,隹,13
431,几,352,儿,13
701,吟,741,呤,13
777,咪,746,味,13
1784,径,4499,经,13
1797,徙,1793,徒,13
1807,徽,1804,徵,13
1888,恩,1857,思,13
2128,拗,1069,坳,13
2626,查,2573,杳,13
2642,栋,2644,栎,13
2967,汩,2966,汨,13
3013,沼,5637,诏,13
3066,洛,3081,洺,13
3481,父,1191,夂,13
3932,盲,4727,肓,13
4744,肮,2524,朊,13
4769,胜,4808,脞,13
4775,胧,2461,昽,13
4816,脾,3974,睥,13
4947,芒,4952,芝,13
5702,谒,3202,渴,13
6018,辫,6017,辩,13
6193,酉,5550,西,13
93,亡,5594,讠,12
129,仕,151,任,12
162,休,195,体,12
578,升,1727,开,12
682,各,699,吝,12
1382,孟,3909,盂,12
1742,弛,6836,驰,12
2083,抉,2074,扶,12
2352,攵,1191,夂,12
2537,末,2536,未,12
2695,梁,4411,粱,12
2945,氽,2949,汆,12
3123,消,3159,淌,12
3161,淑,3226,溆,12
3175,淳,5691,谆,12
3476,爪,3717,瓜,12
3789,疗,3787,疔,12
4290,笤,4288,笞,12
5019,茉,5038,茱,12
5388,蜻,5409,蝽,12
5608,讯,2958,汛,12
5639,译,3053,泽,12
5731,谰,3322,澜,12
6026,迂,6025,迁,12
6562,阳,6563,阴,12
6721,顽,6727,颃,12
15,且,2419,旦,11
54,乎,2052,手,11
152,份,172,伤,11
194,佑,179,估,11
469,刨,465,创,11
678,叼,660,叨,11
1048,坎,1056,坝,11
1208,夫,1209,夬,11
1249,妄,1273,妾,11
1278,姑,1287,姞,11
1367,嬴,5445,蠃,11
1807,徽,1803,微,11
1934,惊,1933,惇,11
1968,愕,1972,愣,11
2141,拨,2126,拔,11
2370,敞,2369,敝,11
2423,旬,3755,甸,11
2451,春,4885,舂,11
2484,晳,3902,皙,11
2590,果,2572,杲,11
2693,桶,2694,桷,11
2772,榆,2243,揄,11
2921,氓,3042,泯,11
2975,汽,2955,汔,11
2994,沟,3017,泃,11
3006,沮,5628,诅,11
3058,洋,5660,详,11
3123,消,5667,诮,11
3151,涸,3057,洇,11
3288,漫,5724,谩,11
3307,潭,5728,谭,11
3736,甘,1726,廿,11
3972,睢,6628,雎,11
4286,笙,4308,筌,11
4313,答,4288,笞,11
4434,糵,5282,蘖,11
4733,肝,2427,旰,11
4740,肩,2046,扃,11
4741,肪,4734,肟,11
5096,莨,5029,茛,11
5199,蒽,5179,葸,11
5558,视,4144,祝,11
5618,论,2999,沦,11
5668,误,3160,淏,11
5787,贷,5771,货,11
6017,辩,6018,辫,11
6404,锐,6460,镋,11
6743,颖,6737,颍,11
49,么,1672,幺,10
50,义,45,乂,10
