run_id,seed,model,classification_head,reparameterize_depthwise,device,parameter_count,estimated_macs,estimated_flops,flop_coverage_complete,eager_batch1_p50_ms,eager_batch1_p95_ms,optimized_parameter_count,optimized_estimated_macs,optimized_estimated_flops,optimized_flop_coverage_complete,optimized_batch1_p50_ms,optimized_batch1_p95_ms,checkpoint_sha256
20260913T114748Z-d2e5e0a9,7,efficient_hccr,cosface,False,cuda,2715360,128351360,272698039,True,4.987199994502589,6.323299981886521,2712320,128351360,267646199,True,3.373500017914921,4.366200009826571,c9fff0fc59281dac12a073992748068e51ef8b2ae4cee4b78c3b6f27fe7f76d8
20260914T040219Z-d03507d1,7,efficient_hccr,cosface,True,cuda,2728960,132636800,288416759,True,2.7845000149682164,3.882399993017316,2712320,128351360,267646199,True,1.2229999992996454,1.6394999984186143,e8b0f3635a75823dc4d5c51ffb9ca09b96f8794b08800d2018c7ca1b7fce4c6c
20260913T161718Z-010aca1f,17,efficient_hccr,cosface,False,cuda,2715360,128351360,272698039,True,5.625999998301268,7.897600007709116,2712320,128351360,267646199,True,4.4661000138148665,6.239900016225874,a68bd2e8eed84ab42f17a586916ee7706419d2bae079e72413b1887654982a30
20260914T114052Z-00692c42,17,efficient_hccr,cosface,True,cuda,2728960,132636800,288416759,True,2.824399998644367,3.784200001973659,2712320,128351360,267646199,True,1.283499994315207,1.660099980654195,902788a90459513f8ac19917e1fa32fce231aa64dd07171a5446b5a6f1827266
20260913T204726Z-7a8640ae,29,efficient_hccr,cosface,False,cuda,2715360,128351360,272698039,True,1.8491999944671988,2.5454999995417893,2712320,128351360,267646199,True,1.2965999776497483,1.8214999872725457,2e579a5344b74494eef112bdf61b3dde4aca98397f5445cfbf6b74780a53e2c7
20260914T191814Z-89bc5055,29,efficient_hccr,cosface,True,cuda,2728960,132636800,288416759,True,2.7396000223234296,3.8644000014755875,2712320,128351360,267646199,True,1.2615000014193356,1.7817000043578446,18aa8434f82c42bcc641d0edacc0f2c2348c94a9b41fbd883f94f6bf6088ecd3
20260914T055805Z-fd15c1fa,7,efficientnet_b0,cosface,False,cuda,13205052,79011808,169640543,True,7.028099993476644,9.659299976192415,13205052,79011808,169640543,True,6.838100001914427,8.474500005831942,773f4eca2eecb663294c25a643b53fe438023a195f3d651dd5e1c1ffa7a2b8db
20260914T121353Z-45eeedc8,17,efficientnet_b0,cosface,False,cuda,13205052,79011808,169640543,True,7.755300001008436,10.309600009350106,13205052,79011808,169640543,True,6.9484999985434115,9.383399999933317,5414359cbe4a4ccb528df4b69c62d0a10d07a25eb85700c273456aff32685a3a
20260914T183224Z-002c745f,29,efficientnet_b0,cosface,False,cuda,13205052,79011808,169640543,True,6.976700009545311,9.690400009276345,13205052,79011808,169640543,True,6.714200018905103,8.94600001629442,d9fe99a919cfa6499015ecb4059963487fb3106c9a78755dc1bd44a808f812cb
20260913T191551Z-65601f65,7,mobilenet_v3_small,cosface,False,cuda,8876032,17742272,37517215,True,5.066299985628575,7.095599983585998,8876032,17742272,37517215,True,5.160900007467717,7.576800009701401,87fddec95f049a34edfc2665a1e39c8fa103dc6424a1df8ace59214a00c665c4
20260913T225308Z-d5c6a2be,17,mobilenet_v3_small,cosface,False,cuda,8876032,17742272,37517215,True,4.510500002652407,6.482600001618266,8876032,17742272,37517215,True,4.503399977693334,5.815599986817688,c99b925dc8eaff5484bd172d63c46355a7ac6e950dc09ccada779f8a21b79ef1
20260914T022812Z-dfe2412b,29,mobilenet_v3_small,cosface,False,cuda,8876032,17742272,37517215,True,4.693599999882281,6.879799999296665,8876032,17742272,37517215,True,4.673299990827218,6.835400010459125,4582915e01d114a9944b2fa2a5e9ca515e5e82dcdc739961f8bf50260e02f7c9
20260913T114748Z-064d3b6b,7,resnet18,cosface,False,cuda,14849472,322331648,647382455,True,6.4286999986507,7.6089000212959945,14849472,322331648,647382455,True,6.034799996996298,7.55320000462234,c6cb432ab088c69141bd5bf9f93d3510ec43c9236ba35a2f07d8b7c12e62f276
20260913T141457Z-dc1f3121,17,resnet18,cosface,False,cuda,14849472,322331648,647382455,True,5.889799998840317,7.816600002115592,14849472,322331648,647382455,True,6.2821999890729785,7.413299987092614,ad2899a76eac5cdfb716b5f7adc242b5cbe0f043ea3335e134f15cccf2fd4970
20260913T164520Z-301a9fa4,29,resnet18,cosface,False,cuda,14849472,322331648,647382455,True,6.68200000654906,8.36359997629188,14849472,322331648,647382455,True,6.041199987521395,7.283199985977262,9e80ef5950e435e169e4dd781862d0e84db7ae03048bb14febf1668263013583
20260915T145404Z-37829cdf,7,shufflenet_v2_x1_0,cosface,False,cuda,8611636,32790808,67448347,True,5.26559998979792,7.403399999020621,8611636,32790808,67448347,True,5.057300004409626,6.485999998403713,0f59f52aef3e151807100f5c50db027a7929a75814c68f319379b3443be1ef00
20260915T184306Z-1564e685,17,shufflenet_v2_x1_0,cosface,False,cuda,8611636,32790808,67448347,True,5.352600011974573,7.673099986277521,8611636,32790808,67448347,True,5.192399985389784,7.285300001967698,ab9f7210956a27ce2ef0a95e417ec78d89468ff0f4ea89669d47e04404fe8707
20260915T223232Z-d74ef695,29,shufflenet_v2_x1_0,cosface,False,cuda,8611636,32790808,67448347,True,6.061799998860806,8.188700012397021,8611636,32790808,67448347,True,5.491399992024526,7.510900002671406,f54b590cb00016d67e8b63849ee5a1be8db03c778f40206ed4d98e3f115d47d4
