class_id,train_support,test_support,support_tier,top1_accuracy,recall
0,765,201,head,0.9950248756218906,0.9950248756218906
1,541,144,head,0.9930555555555556,0.9930555555555556
2,537,142,mid,0.971830985915493,0.971830985915493
3,540,141,mid,0.9432624113475178,0.9432624113475178
4,540,143,mid,0.9440559440559441,0.9440559440559441
5,540,145,mid,0.9586206896551724,0.9586206896551724
6,537,144,mid,0.9791666666666666,0.9791666666666666
7,538,144,mid,0.9236111111111112,0.9236111111111112
8,541,144,head,0.9652777777777778,0.9652777777777778
9,214,59,tail,0.9830508474576272,0.9830508474576272
10,544,142,head,0.9507042253521126,0.9507042253521126
11,542,144,head,0.9791666666666666,0.9791666666666666
12,314,83,mid,0.9759036144578314,0.9759036144578314
13,543,143,head,0.9790209790209791,0.9790209790209791
14,540,143,mid,0.9790209790209791,0.9790209790209791
15,540,141,mid,0.9078014184397163,0.9078014184397163
16,216,59,tail,1.0,1.0
17,539,144,mid,0.9791666666666666,0.9791666666666666
18,534,145,mid,0.9793103448275862,0.9793103448275862
19,543,143,head,0.958041958041958,0.958041958041958
20,543,143,head,0.951048951048951,0.951048951048951
21,543,139,head,0.9712230215827338,0.9712230215827338
22,541,142,head,0.9366197183098591,0.9366197183098591
23,537,142,mid,0.9577464788732394,0.9577464788732394
24,216,59,tail,0.9830508474576272,0.9830508474576272
25,540,140,mid,0.9714285714285714,0.9714285714285714
26,539,141,mid,0.9290780141843972,0.9290780141843972
27,538,143,mid,0.986013986013986,0.986013986013986
28,536,142,mid,0.9436619718309859,0.9436619718309859
29,216,59,tail,1.0,1.0
30,542,142,head,0.971830985915493,0.971830985915493
31,538,144,mid,0.9791666666666666,0.9791666666666666
32,216,60,tail,0.95,0.95
33,537,143,mid,0.951048951048951,0.951048951048951
34,540,141,mid,0.9432624113475178,0.9432624113475178
35,540,142,mid,0.971830985915493,0.971830985915493
36,538,143,mid,0.951048951048951,0.951048951048951
37,216,59,tail,1.0,1.0
38,539,144,mid,0.9930555555555556,0.9930555555555556
39,539,140,mid,0.9571428571428572,0.9571428571428572
40,536,142,mid,0.9436619718309859,0.9436619718309859
41,540,141,mid,0.9078014184397163,0.9078014184397163
42,538,142,mid,0.9788732394366197,0.9788732394366197
43,540,142,mid,0.9788732394366197,0.9788732394366197
44,216,59,tail,0.9830508474576272,0.9830508474576272
45,213,60,tail,0.9166666666666666,0.9166666666666666
