class_id,train_support,test_support,support_tier,top1_accuracy,recall
0,765,201,head,0.9900497512437811,0.9900497512437811
1,541,144,head,0.9930555555555556,0.9930555555555556
2,537,142,mid,0.971830985915493,0.971830985915493
3,540,141,mid,0.9432624113475178,0.9432624113475178
4,540,143,mid,0.9090909090909091,0.9090909090909091
5,540,145,mid,0.9586206896551724,0.9586206896551724
6,537,144,mid,0.9652777777777778,0.9652777777777778
7,538,144,mid,0.9236111111111112,0.9236111111111112
8,541,144,head,0.9375,0.9375
9,214,59,tail,0.9830508474576272,0.9830508474576272
10,544,142,head,0.9366197183098591,0.9366197183098591
11,542,144,head,0.9652777777777778,0.9652777777777778
12,314,83,mid,0.9759036144578314,0.9759036144578314
13,543,143,head,0.972027972027972,0.972027972027972
14,540,143,mid,0.9790209790209791,0.9790209790209791
15,540,141,mid,0.8439716312056738,0.8439716312056738
16,216,59,tail,0.9830508474576272,0.9830508474576272
17,539,144,mid,0.9652777777777778,0.9652777777777778
18,534,145,mid,0.9724137931034482,0.9724137931034482
19,543,143,head,0.9300699300699301,0.9300699300699301
20,543,143,head,0.965034965034965,0.965034965034965
21,543,139,head,0.9784172661870504,0.9784172661870504
22,541,142,head,0.9366197183098591,0.9366197183098591
23,537,142,mid,0.9859154929577465,0.9859154929577465
24,216,59,tail,0.9661016949152542,0.9661016949152542
25,540,140,mid,0.9571428571428572,0.9571428571428572
26,539,141,mid,0.9361702127659575,0.9361702127659575
27,538,143,mid,0.9790209790209791,0.9790209790209791
28,536,142,mid,0.9154929577464789,0.9154929577464789
29,216,59,tail,0.9830508474576272,0.9830508474576272
30,542,142,head,0.9929577464788732,0.9929577464788732
31,538,144,mid,0.9583333333333334,0.9583333333333334
32,216,60,tail,0.95,0.95
33,537,143,mid,0.8811188811188811,0.8811188811188811
34,540,141,mid,0.9078014184397163,0.9078014184397163
35,540,142,mid,0.9507042253521126,0.9507042253521126
36,538,143,mid,0.951048951048951,0.951048951048951
37,216,59,tail,0.9830508474576272,0.9830508474576272
38,539,144,mid,0.9930555555555556,0.9930555555555556
39,539,140,mid,0.9285714285714286,0.9285714285714286
40,536,142,mid,0.9366197183098591,0.9366197183098591
41,540,141,mid,0.9219858156028369,0.9219858156028369
42,538,142,mid,0.9788732394366197,0.9788732394366197
43,540,142,mid,0.9647887323943662,0.9647887323943662
44,216,59,tail,0.9830508474576272,0.9830508474576272
45,213,60,tail,0.9333333333333333,0.9333333333333333
46,535,142,mid,0.9436619718309859,0.9436619718309859
47,541,144,head,0.9444444444444444,0.9444444444444444
48,216,57,tail,0.9298245614035088,0.9298245614035088
49,533,144,mid,0.9375,0.9375
50,540,144,mid,0.9652777777777778,0.9652777777777778
51,543,145,head,0.7103448275862069,0.7103448275862069
52,540,143,mid,0.9020979020979021,0.9020979020979021
53,540,143,mid,0.965034965034965,0.965034965034965
54,540,142,mid,0.8309859154929577,0.8309859154929577
55,539,142,mid,0.9366197183098591,0.9366197183098591
56,538,142,mid,0.9084507042253521,0.9084507042253521
57,521,140,mid,0.8928571428571429,0.8928571428571429
58,531,143,mid,0.9230769230769231,0.9230769230769231
59,539,143,mid,0.993006993006993,0.993006993006993
60,513,135,mid,0.8444444444444444,0.8444444444444444
61,549,141,head,0.9078014184397163,0.9078014184397163
62,537,144,mid,0.9652777777777778,0.9652777777777778
63,211,60,tail,0.9833333333333333,0.9833333333333333
64,541,143,head,0.9790209790209791,0.9790209790209791
65,534,143,mid,0.951048951048951,0.951048951048951
66,542,144,head,0.9861111111111112,0.9861111111111112
67,540,143,mid,0.9300699300699301,0.9300699300699301
68,537,144,mid,0.9722222222222222,0.9722222222222222
69,537,143,mid,0.9370629370629371,0.9370629370629371
70,215,60,tail,0.95,0.95
71,537,143,mid,0.9230769230769231,0.9230769230769231
72,540,142,mid,1.0,1.0
73,540,142,mid,0.9788732394366197,0.9788732394366197
74,538,144,mid,0.9930555555555556,0.9930555555555556
75,538,143,mid,0.9440559440559441,0.9440559440559441
76,542,143,head,0.965034965034965,0.965034965034965
77,540,144,mid,0.9722222222222222,0.9722222222222222
78,539,141,mid,0.9645390070921985,0.9645390070921985
79,542,142,head,0.9436619718309859,0.9436619718309859
80,215,58,tail,0.9310344827586207,0.9310344827586207
81,543,145,head,0.896551724137931,0.896551724137931
82,537,144,mid,0.8958333333333334,0.8958333333333334
83,541,144,head,0.9236111111111112,0.9236111111111112
84,541,142,head,0.9859154929577465,0.9859154929577465
85,216,60,tail,0.9666666666666667,0.9666666666666667
86,538,143,mid,0.9020979020979021,0.9020979020979021
87,540,142,mid,0.9295774647887324,0.9295774647887324
88,216,59,tail,1.0,1.0
89,540,143,mid,0.986013986013986,0.986013986013986
90,534,143,mid,0.958041958041958,0.958041958041958
91,216,59,tail,0.9661016949152542,0.9661016949152542
92,215,58,tail,0.9827586206896551,0.9827586206896551
93,541,144,head,0.9236111111111112,0.9236111111111112
94,538,143,mid,0.958041958041958,0.958041958041958
95,540,142,mid,0.9507042253521126,0.9507042253521126
96,538,140,mid,0.9714285714285714,0.9714285714285714
97,542,143,head,0.9090909090909091,0.9090909090909091
98,540,142,mid,0.9366197183098591,0.9366197183098591
99,518,137,mid,0.8394160583941606,0.8394160583941606
100,535,143,mid,0.958041958041958,0.958041958041958
101,541,142,head,0.9295774647887324,0.9295774647887324
102,541,144,head,0.8680555555555556,0.8680555555555556
103,539,142,mid,0.9647887323943662,0.9647887323943662
104,539,143,mid,0.958041958041958,0.958041958041958
105,537,144,mid,0.9444444444444444,0.9444444444444444
106,215,59,tail,0.9152542372881356,0.9152542372881356
107,216,58,tail,1.0,1.0
108,214,60,tail,0.9833333333333333,0.9833333333333333
109,216,60,tail,0.9666666666666667,0.9666666666666667
110,538,144,mid,0.9583333333333334,0.9583333333333334
111,216,60,tail,0.95,0.95
112,542,143,head,0.958041958041958,0.958041958041958
113,535,144,mid,0.9444444444444444,0.9444444444444444
114,535,144,mid,0.9583333333333334,0.9583333333333334
115,216,59,tail,0.9322033898305084,0.9322033898305084
116,216,60,tail,1.0,1.0
117,214,59,tail,0.9322033898305084,0.9322033898305084
118,542,143,head,0.8741258741258742,0.8741258741258742
119,537,144,mid,0.9652777777777778,0.9652777777777778
120,540,140,mid,0.95,0.95
121,217,60,mid,0.9833333333333333,0.9833333333333333
122,540,144,mid,0.9236111111111112,0.9236111111111112
123,540,142,mid,0.9295774647887324,0.9295774647887324
124,537,144,mid,0.9444444444444444,0.9444444444444444
125,539,142,mid,0.9647887323943662,0.9647887323943662
126,536,143,mid,0.916083916083916,0.916083916083916
127,542,143,head,0.916083916083916,0.916083916083916
128,539,143,mid,0.951048951048951,0.951048951048951
129,535,143,mid,0.8531468531468531,0.8531468531468531
130,536,143,mid,0.9790209790209791,0.9790209790209791
131,541,144,head,0.9583333333333334,0.9583333333333334
132,540,142,mid,0.9436619718309859,0.9436619718309859
133,541,142,head,0.9507042253521126,0.9507042253521126
134,216,59,tail,0.9661016949152542,0.9661016949152542
135,216,60,tail,0.9666666666666667,0.9666666666666667
136,533,143,mid,0.8811188811188811,0.8811188811188811
137,216,59,tail,0.9491525423728814,0.9491525423728814
138,540,140,mid,0.9285714285714286,0.9285714285714286
139,536,143,mid,0.9090909090909091,0.9090909090909091
140,539,143,mid,0.9090909090909091,0.9090909090909091
141,216,60,tail,1.0,1.0
142,539,143,mid,0.9020979020979021,0.9020979020979021
143,216,60,tail,1.0,1.0
144,535,143,mid,0.972027972027972,0.972027972027972
145,538,143,mid,0.951048951048951,0.951048951048951
146,539,144,mid,0.8958333333333334,0.8958333333333334
147,216,60,tail,1.0,1.0
148,215,60,tail,0.95,0.95
149,537,140,mid,0.9142857142857143,0.9142857142857143
150,536,143,mid,0.958041958041958,0.958041958041958
151,541,144,head,0.9166666666666666,0.9166666666666666
152,541,142,head,0.8591549295774648,0.8591549295774648
153,539,141,mid,0.900709219858156,0.900709219858156
154,538,144,mid,0.9861111111111112,0.9861111111111112
155,216,60,tail,0.9833333333333333,0.9833333333333333
156,537,144,mid,0.9722222222222222,0.9722222222222222
157,216,60,tail,0.9666666666666667,0.9666666666666667
158,537,142,mid,0.9577464788732394,0.9577464788732394
159,535,141,mid,0.950354609929078,0.950354609929078
160,542,141,head,0.950354609929078,0.950354609929078
161,536,142,mid,0.9225352112676056,0.9225352112676056
162,533,141,mid,0.8652482269503546,0.8652482269503546
163,540,143,mid,0.986013986013986,0.986013986013986
164,542,143,head,0.9300699300699301,0.9300699300699301
165,535,143,mid,0.9440559440559441,0.9440559440559441
166,540,141,mid,0.9645390070921985,0.9645390070921985
167,216,60,tail,1.0,1.0
168,538,143,mid,0.9370629370629371,0.9370629370629371
169,541,144,head,0.9652777777777778,0.9652777777777778
170,540,142,mid,0.9436619718309859,0.9436619718309859
171,216,59,tail,0.9491525423728814,0.9491525423728814
172,536,144,mid,0.8958333333333334,0.8958333333333334
173,216,59,tail,0.8983050847457628,0.8983050847457628
174,540,143,mid,0.9230769230769231,0.9230769230769231
175,216,60,tail,0.9666666666666667,0.9666666666666667
176,541,143,head,0.9370629370629371,0.9370629370629371
177,216,60,tail,0.9666666666666667,0.9666666666666667
178,543,142,head,0.9084507042253521,0.9084507042253521
179,541,142,head,0.8873239436619719,0.8873239436619719
180,216,60,tail,0.9666666666666667,0.9666666666666667
181,542,142,head,0.9295774647887324,0.9295774647887324
182,536,142,mid,0.9225352112676056,0.9225352112676056
183,539,142,mid,0.9084507042253521,0.9084507042253521
184,535,140,mid,0.9071428571428571,0.9071428571428571
185,538,140,mid,0.9428571428571428,0.9428571428571428
186,216,60,tail,0.9833333333333333,0.9833333333333333
187,216,60,tail,0.9166666666666666,0.9166666666666666
188,538,138,mid,0.9782608695652174,0.9782608695652174
189,541,142,head,0.9436619718309859,0.9436619718309859
190,540,142,mid,0.9295774647887324,0.9295774647887324
191,539,142,mid,0.9788732394366197,0.9788732394366197
192,539,143,mid,0.8321678321678322,0.8321678321678322
193,537,142,mid,0.9577464788732394,0.9577464788732394
194,543,143,head,0.9370629370629371,0.9370629370629371
195,540,142,mid,0.9225352112676056,0.9225352112676056
