class_id,train_support,test_support,support_tier,top1_accuracy,recall
0,765,201,head,0.9950248756218906,0.9950248756218906
1,541,144,head,1.0,1.0
2,537,142,mid,0.9788732394366197,0.9788732394366197
3,540,141,mid,0.9219858156028369,0.9219858156028369
4,540,143,mid,0.9440559440559441,0.9440559440559441
5,540,145,mid,0.9655172413793104,0.9655172413793104
6,537,144,mid,0.9861111111111112,0.9861111111111112
7,538,144,mid,0.9375,0.9375
8,541,144,head,0.9513888888888888,0.9513888888888888
9,214,59,tail,0.9661016949152542,0.9661016949152542
10,544,142,head,0.9647887323943662,0.9647887323943662
11,542,144,head,0.9583333333333334,0.9583333333333334
12,314,83,mid,1.0,1.0
13,543,143,head,0.986013986013986,0.986013986013986
14,540,143,mid,0.951048951048951,0.951048951048951
15,540,141,mid,0.8723404255319149,0.8723404255319149
16,216,59,tail,1.0,1.0
17,539,144,mid,0.9791666666666666,0.9791666666666666
18,534,145,mid,0.9724137931034482,0.9724137931034482
19,543,143,head,0.958041958041958,0.958041958041958
20,543,143,head,0.972027972027972,0.972027972027972
21,543,139,head,0.9928057553956835,0.9928057553956835
22,541,142,head,0.9507042253521126,0.9507042253521126
23,537,142,mid,0.9859154929577465,0.9859154929577465
24,216,59,tail,0.9830508474576272,0.9830508474576272
25,540,140,mid,0.9571428571428572,0.9571428571428572
26,539,141,mid,0.950354609929078,0.950354609929078
27,538,143,mid,0.9790209790209791,0.9790209790209791
28,536,142,mid,0.9366197183098591,0.9366197183098591
29,216,59,tail,1.0,1.0
30,542,142,head,0.9647887323943662,0.9647887323943662
31,538,144,mid,0.9791666666666666,0.9791666666666666
32,216,60,tail,0.95,0.95
33,537,143,mid,0.9440559440559441,0.9440559440559441
34,540,141,mid,0.9290780141843972,0.9290780141843972
35,540,142,mid,0.9859154929577465,0.9859154929577465
36,538,143,mid,0.965034965034965,0.965034965034965
37,216,59,tail,1.0,1.0
38,539,144,mid,0.9930555555555556,0.9930555555555556
39,539,140,mid,0.9785714285714285,0.9785714285714285
40,536,142,mid,0.9225352112676056,0.9225352112676056
41,540,141,mid,0.950354609929078,0.950354609929078
42,538,142,mid,0.9859154929577465,0.9859154929577465
43,540,142,mid,0.9859154929577465,0.9859154929577465
44,216,59,tail,0.9830508474576272,0.9830508474576272
45,213,60,tail,0.9333333333333333,0.9333333333333333
46,535,142,mid,0.9577464788732394,0.9577464788732394
47,541,144,head,0.9236111111111112,0.9236111111111112
48,216,57,tail,0.9298245614035088,0.9298245614035088
49,533,144,mid,0.9236111111111112,0.9236111111111112
50,540,144,mid,0.9583333333333334,0.9583333333333334
51,543,145,head,0.7586206896551724,0.7586206896551724
52,540,143,mid,0.9370629370629371,0.9370629370629371
53,540,143,mid,0.993006993006993,0.993006993006993
54,540,142,mid,0.8943661971830986,0.8943661971830986
55,539,142,mid,0.9507042253521126,0.9507042253521126
56,538,142,mid,0.9295774647887324,0.9295774647887324
57,521,140,mid,0.9214285714285714,0.9214285714285714
58,531,143,mid,0.951048951048951,0.951048951048951
59,539,143,mid,0.986013986013986,0.986013986013986
60,513,135,mid,0.8888888888888888,0.8888888888888888
61,549,141,head,0.9432624113475178,0.9432624113475178
62,537,144,mid,0.9652777777777778,0.9652777777777778
63,211,60,tail,0.9833333333333333,0.9833333333333333
64,541,143,head,0.986013986013986,0.986013986013986
65,534,143,mid,0.965034965034965,0.965034965034965
66,542,144,head,0.9652777777777778,0.9652777777777778
67,540,143,mid,0.9440559440559441,0.9440559440559441
68,537,144,mid,0.9652777777777778,0.9652777777777778
69,537,143,mid,0.965034965034965,0.965034965034965
70,215,60,tail,0.9833333333333333,0.9833333333333333
71,537,143,mid,0.9230769230769231,0.9230769230769231
72,540,142,mid,0.9859154929577465,0.9859154929577465
73,540,142,mid,1.0,1.0
74,538,144,mid,0.9930555555555556,0.9930555555555556
75,538,143,mid,0.9370629370629371,0.9370629370629371
76,542,143,head,0.965034965034965,0.965034965034965
77,540,144,mid,0.9861111111111112,0.9861111111111112
78,539,141,mid,0.9787234042553191,0.9787234042553191
79,542,142,head,0.9084507042253521,0.9084507042253521
80,215,58,tail,0.9310344827586207,0.9310344827586207
81,543,145,head,0.8689655172413793,0.8689655172413793
82,537,144,mid,0.9236111111111112,0.9236111111111112
83,541,144,head,0.9444444444444444,0.9444444444444444
84,541,142,head,0.9647887323943662,0.9647887323943662
85,216,60,tail,0.9833333333333333,0.9833333333333333
86,538,143,mid,0.8951048951048951,0.8951048951048951
87,540,142,mid,0.9577464788732394,0.9577464788732394
