target,target_label,prediction,prediction_label,count
660,叨,678,叼,68
2780,榛,2764,楱,61
6397,锉,4016,矬,59
656,口,999,囗,57
1370,子,1371,孑,53
2512,曰,2418,日,39
3864,瘦,3853,瘐,39
7033,鸣,739,呜,37
5372,蜓,5371,蜒,34
480,刺,490,剌,33
5649,诛,3064,洙,33
3970,睛,2485,晴,32
1619,己,1620,已,31
3623,玫,3616,玟,31
2626,查,2573,杳,30
3481,父,2352,攵,30
5680,读,3184,渎,30
5620,讽,3001,沨,29
5666,语,3116,浯,29
51,之,6021,辶,28
4775,胧,2461,昽,28
5700,谐,3216,湝,28
5595,计,2947,汁,27
5677,诸,3190,渚,26
3099,浑,5662,诨,25
1184,士,598,卤,24
1210,夭,1206,天,24
2946,汀,5596,订,24
3113,浩,5669,诰,24
5656,询,3079,洵,24
5697,谍,3198,渫,24
5732,谱,3315,潽,24
576,千,1667,干,23
1027,土,598,卤,23
2083,抉,2074,扶,23
3009,河,5626,诃,23
3172,淬,5692,谇,23
3180,清,5676,请,23
842,唧,877,啷,22
1620,已,1619,己,22
2496,暖,2499,暧,22
3082,活,5651,话,22
4001,瞳,2505,曈,22
4747,育,4727,肓,22
5483,袄,4134,祆,22
5652,诞,3126,涎,22
5674,诵,3125,涌,22
1620,已,1621,巳,21
2999,沦,5618,论,21
3035,波,5638,诐,21
3118,海,5671,诲,21
3191,渝,5705,谕,21
5106,获,5107,莸,21
5524,裸,4158,祼,21
5719,谤,3250,滂,21
2418,日,2512,曰,20
2987,沐,3005,沭,20
3275,滴,5725,谪,20
3284,漠,5714,谟,20
5621,设,2995,没,20
5671,诲,3118,海,20
1829,快,1849,怏,19
2945,氽,2949,汆,19
3083,洼,5644,诖,19
3288,漫,5724,谩,19
3902,皙,2484,晳,19
3935,盹,4742,肫,19
4411,粱,2695,梁,19
4947,芒,4952,芝,19
5691,谆,3175,淳,19
5728,谭,3307,潭,19
7030,鸠,7038,鸩,19
1456,寸,2053,扌,18
3055,洁,5646,诘,18
3930,盯,4697,耵,18
4338,算,4332,箅,18
5399,蝠,6995,鲾,18
60,乖,61,乘,17
449,刁,448,刀,17
3063,洗,5650,诜,17
3104,浙,3155,淅,17
3125,涌,5674,诵,17
5628,诅,3006,沮,17
5651,话,3082,活,17
5703,谓,3199,渭,17
6576,陈,6564,阵,17
99,亨,101,享,16
739,呜,7033,鸣,16
2235,掰,2290,搿,16
2949,汆,2945,氽,16
2962,江,5601,讧,16
3175,淳,5691,谆,16
4265,竟,4264,竞,16
4296,第,4295,笫,16
5639,译,3053,泽,16
5686,谁,3173,淮,16
6333,铃,6302,钤,16
1144,堤,2249,提,15
1185,壬,3608,王,15
1277,姐,1270,妲,15
1621,巳,1620,已,15
2956,汕,5604,讪,15
2957,汗,5600,讦,15
2958,汛,5608,讯,15
2997,沤,5612,讴,15
3003,沪,3049,泸,15
3013,沼,5637,诏,15
3126,涎,5652,诞,15
3199,渭,5703,谓,15
5660,详,3058,洋,15
5702,谒,3202,渴,15
415,冶,3012,治,14
557,匕,3,七,14
2074,扶,2083,抉,14
2370,敞,2369,敝,14
2537,末,2536,未,14
2947,汁,5595,计,14
3063,洗,418,冼,14
3214,湛,5696,谌,14
3972,睢,6628,雎,14
4436,系,4435,糸,14
4725,肋,523,助,14
4996,苟,4992,苘,14
5106,获,5081,荻,14
5676,请,3180,清,14
5693,谈,3168,淡,14
5724,谩,3288,漫,14
5828,赢,1367,嬴,14
6025,迁,6026,迂,14
54,乎,2052,手,13
199,余,198,佘,13
807,哗,805,哔,13
1045,坊,1032,圬,13
2612,柏,2680,桕,13
3014,沽,5625,诂,13
3062,洒,6201,酒,13
3123,消,5667,诮,13
3623,玫,3612,玖,13
5019,茉,5038,茱,13
5040,茴,4992,苘,13
5618,论,2999,沦,13
5731,谰,3322,澜,13
129,仕,151,任,12
162,休,195,体,12
1796,徘,4529,绯,12
1934,惊,1933,惇,12
2128,拗,1069,坳,12
2485,晴,3970,睛,12
2908,毫,106,亳,12
2967,汩,2966,汨,12
3039,泪,2966,汨,12
4264,竞,4265,竟,12
4618,署,2495,暑,12
4675,耍,5551,要,12
4744,肮,2524,朊,12
4854,膛,3992,瞠,12
5145,萎,5186,蒌,12
5249,蕴,5247,蕰,12
5605,讫,2955,汔,12
5608,讯,2958,汛,12
5864,跌,5856,趺,12
6085,逢,6064,逄,12
6399,锋,6343,铎,12
79,二,92,亠,11
118,仅,646,反,11
279,倍,262,信,11
578,升,1727,开,11
719,吹,735,呗,11
1048,坎,1056,坝,11
1742,弛,6836,驰,11
1797,徙,1793,徒,11
1807,徽,1803,微,11
2564,来,4677,耒,11
3235,溢,5720,谥,11
3909,盂,1382,孟,11
5034,茫,5039,茳,11
5042,茶,5082,荼,11
5101,莱,5123,菜,11
5596,订,2946,汀,11
6026,迂,6025,迁,11
7029,鸟,52,乌,11
152,份,172,伤,10
352,儿,431,几,10
396,冒,2441,昌,10
469,刨,465,创,10
1784,径,4499,经,10
1888,恩,1857,思,10
2436,昂,2457,昴,10
2921,氓,3042,泯,10
2977,沁,3022,泌,10
3012,治,5640,诒,10
3053,泽,5639,译,10
3123,消,3159,淌,10
3307,潭,5728,谭,10
3322,澜,5731,谰,10
4008,矛,76,予,10
4517,绢,3128,涓,10
4815,脸,3968,睑,10
5690,谅,424,凉,10
