target,target_label,prediction,prediction_label,count
656,口,999,囗,66
1370,子,1371,孑,64
3623,玫,3616,玟,47
51,之,6021,辶,42
2780,榛,2764,楱,41
3083,洼,5644,诖,40
1184,士,598,卤,38
6397,锉,4016,矬,38
1027,土,598,卤,37
3113,浩,5669,诰,35
5666,语,3116,浯,35
1619,己,1620,已,34
2512,曰,2418,日,34
3864,瘦,3853,瘐,34
5620,讽,3001,沨,34
3063,洗,418,冼,33
5483,袄,4134,祆,33
3970,睛,2485,晴,32
5680,读,3184,渎,32
480,刺,490,剌,31
5595,计,2947,汁,31
5649,诛,3064,洙,31
5677,诸,3190,渚,30
5719,谤,3250,滂,30
5106,获,5107,莸,29
5697,谍,3198,渫,29
3099,浑,5662,诨,28
3284,漠,5714,谟,28
3481,父,2352,攵,28
7033,鸣,739,呜,28
2962,江,5601,讧,27
3055,洁,5646,诘,27
1456,寸,2053,扌,26
3013,沼,5637,诏,26
5732,谱,3315,潽,26
3014,沽,5625,诂,25
5700,谐,3216,湝,25
5651,话,3082,活,24
7030,鸠,7038,鸩,24
1210,夭,1206,天,23
1620,已,1619,己,23
1829,快,1849,怏,23
2074,扶,2083,抉,23
2418,日,2512,曰,23
2496,暖,2499,暧,23
4996,苟,4992,苘,23
5671,诲,3118,海,23
660,叨,678,叼,22
1620,已,1621,巳,22
2956,汕,5604,讪,22
2997,沤,5612,讴,22
3235,溢,5720,谥,22
3275,滴,5725,谪,22
4747,育,4727,肓,22
6333,铃,6302,钤,22
576,千,1667,干,21
2946,汀,5596,订,21
2949,汆,2945,氽,21
2957,汗,5600,讦,21
5524,裸,4158,祼,21
2235,掰,2290,搿,20
2947,汁,5595,计,20
3012,治,5640,诒,20
3066,洛,3081,洺,20
4001,瞳,2505,曈,20
5656,询,3079,洵,20
5728,谭,3307,潭,20
2987,沐,3005,沭,19
3035,波,5638,诐,19
3039,泪,2966,汨,19
3063,洗,5650,诜,19
3172,淬,5692,谇,19
5674,诵,3125,涌,19
5693,谈,3168,淡,19
3902,皙,2484,晳,18
4947,芒,4952,芝,18
5034,茫,5039,茳,18
5596,订,2946,汀,18
5639,译,3053,泽,18
5676,请,3180,清,18
5703,谓,3199,渭,18
5828,赢,5445,蠃,18
5864,跌,5856,趺,18
6213,酪,6212,酩,18
6721,顽,6727,颃,18
1208,夫,1209,夬,17
2975,汽,2955,汔,17
2995,没,5621,设,17
3118,海,5671,诲,17
4338,算,4332,箅,17
4411,粱,2695,梁,17
4436,系,4435,糸,17
5249,蕴,5247,蕰,17
5686,谁,3173,淮,17
6576,陈,6564,阵,17
1144,堤,2249,提,16
