target,target_label,prediction,prediction_label,count
6397,锉,4016,矬,56
656,口,999,囗,49
2780,榛,2764,楱,41
3970,睛,2485,晴,38
1370,子,1371,孑,35
2512,曰,2418,日,33
1619,己,1620,已,30
576,千,1667,干,29
1184,士,598,卤,28
5595,计,2947,汁,28
660,叨,678,叼,27
2418,日,2512,曰,26
5674,诵,3125,涌,26
1620,已,1619,己,25
1621,巳,1620,已,25
3864,瘦,3853,瘐,25
7029,鸟,52,乌,25
7033,鸣,739,呜,25
3481,父,2352,攵,24
5728,谭,3307,潭,24
480,刺,490,剌,23
1210,夭,1206,天,23
51,之,6021,辶,22
5697,谍,3198,渫,22
5703,谓,3199,渭,22
5719,谤,3250,滂,22
2949,汆,2945,氽,21
3082,活,5651,话,21
5666,语,3116,浯,21
5671,诲,3118,海,21
5700,谐,3216,湝,21
3055,洁,5646,诘,20
5677,诸,3190,渚,20
5691,谆,3175,淳,20
1027,土,598,卤,19
2083,抉,2074,扶,19
3180,清,5676,请,19
4265,竟,4264,竞,19
4411,粱,2695,梁,19
5596,订,2946,汀,19
5620,讽,3001,沨,19
5724,谩,3288,漫,19
739,呜,7033,鸣,18
2908,毫,106,亳,18
5372,蜓,5371,蜒,18
5524,裸,4158,祼,18
5639,译,3053,泽,18
5649,诛,3064,洙,18
5651,话,3082,活,18
5732,谱,3315,潽,18
7030,鸠,7038,鸩,18
1144,堤,2249,提,17
1185,壬,3608,王,17
2496,暖,2499,暧,17
2946,汀,5596,订,17
2958,汛,5608,讯,17
2995,没,5621,设,17
3062,洒,6201,酒,17
3623,玫,3616,玟,17
4296,第,4295,笫,17
4725,肋,523,助,17
4747,育,4727,肓,17
5618,论,2999,沦,17
5628,诅,3006,沮,17
5652,诞,3126,涎,17
5660,详,3058,洋,17
5686,谁,3173,淮,17
2074,扶,2083,抉,16
3191,渝,5705,谕,16
4001,瞳,2505,曈,16
5676,请,3180,清,16
6576,陈,6564,阵,16
60,乖,61,乘,15
99,亨,101,享,15
2947,汁,5595,计,15
3113,浩,5669,诰,15
3118,海,5671,诲,15
3284,漠,5714,谟,15
3902,皙,2484,晳,15
4338,算,4332,箅,15
5621,设,2995,没,15
5680,读,3184,渎,15
5731,谰,3322,澜,15
129,仕,151,任,14
1620,已,1621,巳,14
2235,掰,2290,搿,14
2987,沐,3005,沭,14
3099,浑,5662,诨,14
3288,漫,5724,谩,14
5693,谈,3168,淡,14
6026,迂,6025,迁,14
15,且,2419,旦,13
54,乎,2052,手,13
415,冶,3012,治,13
449,刁,448,刀,13
999,囗,656,口,13
1456,寸,2053,扌,13
1888,恩,1857,思,13
2128,拗,1069,坳,13
2945,氽,2949,汆,13
2956,汕,5604,讪,13
2977,沁,3022,泌,13
3014,沽,5625,诂,13
3275,滴,5725,谪,13
3623,玫,3612,玖,13
3935,盹,4742,肫,13
4947,芒,4952,芝,13
5656,询,3079,洵,13
192,住,6615,隹,12
578,升,1727,开,12
807,哗,805,哔,12
1784,径,4499,经,12
1796,徘,4529,绯,12
1807,徽,1803,微,12
2537,末,2536,未,12
2957,汗,5600,讦,12
2999,沦,5618,论,12
3083,洼,5644,诖,12
4996,苟,4992,苘,12
5019,茉,5038,茱,12
5608,讯,2958,汛,12
6399,锋,6343,铎,12
678,叼,660,叨,11
1829,快,1849,怏,11
2370,敞,2369,敝,11
2966,汨,2967,汩,11
2997,沤,5612,讴,11
3123,消,3159,淌,11
3125,涌,5674,诵,11
3126,涎,5652,诞,11
3175,淳,5691,谆,11
4264,竞,4265,竟,11
4775,胧,2461,昽,11
5041,茵,5118,菌,11
5106,获,5107,莸,11
5249,蕴,5247,蕰,11
5828,赢,5445,蠃,11
6721,顽,6727,颃,11
57,乒,380,兵,10
355,元,2416,无,10
431,几,352,儿,10
1277,姐,1270,妲,10
1349,嫒,1338,媛,10
1742,弛,6836,驰,10
1970,感,1936,惑,10
2141,拨,2126,拔,10
2163,挖,2228,控,10
2536,未,2537,末,10
2624,柠,2140,拧,10
2967,汩,2966,汨,10
3035,波,5638,诐,10
3058,洋,5660,详,10
3172,淬,5692,谇,10
3199,渭,5703,谓,10
3307,潭,5728,谭,10
4517,绢,3128,涓,10
5199,蒽,5179,葸,10
5633,诋,3031,泜,10
5864,跌,5856,趺,10
6025,迁,6026,迂,10
51,之,93,亡,9
86,五,3608,王,9
118,仅,646,反,9
152,份,172,伤,9
162,休,195,体,9
199,余,198,佘,9
279,倍,262,信,9
352,儿,431,几,9
639,叁,640,参,9
719,吹,735,呗,9
777,咪,746,味,9
1045,坊,1032,圬,9
1048,坎,1056,坝,9
1056,坝,1048,坎,9
1709,庾,1712,廋,9
1797,徙,1793,徒,9
1857,思,1888,恩,9
2436,昂,2457,昴,9
3009,河,5626,诃,9
3063,洗,418,冼,9
3159,淌,3123,消,9
3173,淮,5686,谁,9
3322,澜,5731,谰,9
3608,王,86,五,9
3853,瘐,3864,瘦,9
3909,盂,1382,孟,9
4008,矛,76,予,9
4543,绽,3153,淀,9
4588,缭,3306,潦,9
4595,缴,3331,激,9
4675,耍,5551,要,9
4744,肮,2524,朊,9
5096,莨,5029,茛,9
5483,袄,4134,祆,9
5605,讫,2955,汔,9
6032,运,6040,远,9
6212,酩,6213,酪,9
344,僳,323,傈,8
418,冼,3063,洗,8
469,刨,465,创,8
490,剌,480,刺,8
547,勺,1197,夕,8
557,匕,3,七,8
1118,域,1108,城,8
1471,尖,1472,尘,8
1726,廿,3736,甘,8
1934,惊,1933,惇,8
1988,慨,2770,概,8
2105,抵,2076,扺,8
2452,昧,746,味,8
2457,昴,2436,昂,8
2466,晌,798,响,8
2499,暧,2496,暖,8
2542,朴,2056,扑,8
2564,来,2561,束,8
2585,析,2092,折,8
2645,栏,2139,拦,8
2667,桃,2162,挑,8
2693,桶,2186,捅,8
2818,橇,2321,撬,8
2894,毋,2895,母,8
2962,江,2950,汇,8
2962,江,5601,讧,8
3006,沮,5628,诅,8
3053,泽,5639,译,8
3063,洗,5650,诜,8
3235,溢,5720,谥,8
3814,疽,3811,疸,8
3989,瞑,2498,暝,8
4146,祟,1567,崇,8
4158,祼,5524,裸,8
4262,竖,1053,坚,8
4435,糸,4436,系,8
4436,系,4435,糸,8
4476,纷,2976,汾,8
4521,绦,3140,涤,8
4618,署,2495,暑,8
5034,茫,5039,茳,8
5042,茶,5082,荼,8
5388,蜻,5409,蝽,8
5625,诂,3014,沽,8
5668,误,3160,淏,8
5681,诼,3152,涿,8
5690,谅,5691,谆,8
5702,谒,3202,渴,8
5787,贷,5771,货,8
5797,赁,435,凭,8
6040,远,6032,运,8
6201,酒,3062,洒,8
6213,酪,6212,酩,8
6237,醒,6219,酲,8
6513,闲,6508,闭,8
6564,阵,6576,陈,8
7108,麋,7106,麇,8
52,乌,7029,鸟,7
79,二,92,亠,7
161,伐,138,代,7
164,优,160,伏,7
172,伤,152,份,7
184,伺,196,何,7
364,兔,362,免,7
396,冒,2441,昌,7
438,凳,3889,登,7
448,刀,449,刁,7
644,友,2350,支,7
1228,奏,4189,秦,7
1384,季,2553,李,7
1476,尢,1477,尤,7
2018,戍,2017,戌,7
2053,扌,1456,寸,7
2539,札,2055,扎,7
2564,来,4677,耒,7
2569,杭,2091,抗,7
2626,查,2573,杳,7
2666,桂,2157,挂,7
2772,榆,2243,揄,7
2803,槽,4430,糟,7
2921,氓,3042,泯,7
2975,汽,2955,汔,7
3013,沼,5637,诏,7
3156,淆,3108,浠,7
3184,渎,5680,读,7
3202,渴,5702,谒,7
3214,湛,5696,谌,7
3380,炮,3375,炝,7
3585,猬,3560,狷,7
3612,玖,3623,玫,7
3616,玟,3623,玫,7
3623,玫,2355,改,7
