target,target_label,prediction,prediction_label,count
660,叨,678,叼,58
6397,锉,4016,矬,57
656,口,999,囗,44
1370,子,1371,孑,38
2780,榛,2764,楱,37
2512,曰,2418,日,35
3864,瘦,3853,瘐,35
3481,父,2352,攵,33
3970,睛,2485,晴,33
5677,诸,3190,渚,31
7033,鸣,739,呜,31
5649,诛,3064,洙,30
480,刺,490,剌,28
576,千,1667,干,28
1619,己,1620,已,27
3623,玫,3616,玟,27
5595,计,2947,汁,27
5700,谐,3216,湝,27
5666,语,3116,浯,26
5674,诵,3125,涌,25
5680,读,3184,渎,25
1620,已,1619,己,24
5719,谤,3250,滂,24
1210,夭,1206,天,23
2418,日,2512,曰,23
3180,清,5676,请,23
5676,请,3180,清,23
51,之,6021,辶,22
1620,已,1621,巳,22
2949,汆,2945,氽,22
4747,育,4727,肓,22
5671,诲,3118,海,22
5703,谓,3199,渭,22
5732,谱,3315,潽,22
3099,浑,5662,诨,21
5372,蜓,5371,蜒,21
5628,诅,3006,沮,21
5691,谆,3175,淳,21
1027,土,598,卤,20
2958,汛,5608,讯,20
3191,渝,5705,谕,20
5651,话,3082,活,20
1184,士,598,卤,19
1621,巳,1620,已,19
2626,查,2573,杳,19
5620,讽,3001,沨,19
5693,谈,3168,淡,19
2999,沦,5618,论,18
3009,河,5626,诃,18
3275,滴,5725,谪,18
4001,瞳,2505,曈,18
5483,袄,4134,祆,18
5524,裸,4158,祼,18
5621,设,2995,没,18
5656,询,3079,洵,18
5697,谍,3198,渫,18
5724,谩,3288,漫,18
5728,谭,3307,潭,18
6025,迁,6026,迂,18
1144,堤,2249,提,17
2128,拗,1069,坳,17
2436,昂,2457,昴,17
2496,暖,2499,暧,17
2537,末,2536,未,17
3113,浩,5669,诰,17
4338,算,4332,箅,17
4725,肋,523,助,17
5660,详,3058,洋,17
6576,陈,6564,阵,17
7029,鸟,52,乌,17
54,乎,2052,手,16
99,亨,101,享,16
415,冶,3012,治,16
2235,掰,2290,搿,16
2947,汁,5595,计,16
2997,沤,5612,讴,16
3104,浙,3155,淅,16
3902,皙,2484,晳,16
4264,竞,4265,竟,16
4265,竟,4264,竞,16
5686,谁,3173,淮,16
60,乖,61,乘,15
2946,汀,5596,订,15
3055,洁,5646,诘,15
3175,淳,5691,谆,15
3284,漠,5714,谟,15
5596,订,2946,汀,15
5618,论,2999,沦,15
5639,译,3053,泽,15
352,儿,431,几,14
449,刁,448,刀,14
739,呜,7033,鸣,14
1277,姐,1270,妲,14
1888,恩,1857,思,14
2074,扶,2083,抉,14
2083,抉,2074,扶,14
2908,毫,106,亳,14
2967,汩,2966,汨,14
2995,没,5621,设,14
3035,波,5638,诐,14
3062,洒,6201,酒,14
3082,活,5651,话,14
3083,洼,5644,诖,14
3118,海,5671,诲,14
3288,漫,5724,谩,14
3623,玫,3612,玖,14
4411,粱,2695,梁,14
4775,胧,2461,昽,14
5652,诞,3126,涎,14
1185,壬,3608,王,13
2945,氽,2949,汆,13
2956,汕,5604,讪,13
2977,沁,3022,泌,13
2987,沐,3005,沭,13
3053,泽,5639,译,13
3125,涌,5674,诵,13
3126,涎,5652,诞,13
3172,淬,5692,谇,13
3173,淮,5686,谁,13
3199,渭,5703,谓,13
3214,湛,5696,谌,13
3935,盹,4742,肫,13
4996,苟,4992,苘,13
5731,谰,3322,澜,13
6085,逢,6064,逄,13
118,仅,646,反,12
129,仕,151,任,12
1807,徽,1803,微,12
2484,晳,3902,皙,12
2536,未,2537,末,12
4947,芒,4952,芝,12
5019,茉,5038,茱,12
5106,获,5107,莸,12
5608,讯,2958,汛,12
5702,谒,3202,渴,12
6721,顽,6727,颃,12
262,信,279,倍,11
807,哗,805,哔,11
1796,徘,4529,绯,11
1797,徙,1793,徒,11
2370,敞,2369,敝,11
2957,汗,5600,讦,11
3012,治,5640,诒,11
3058,洋,5660,详,11
3063,洗,5650,诜,11
3123,消,3159,淌,11
3123,消,5667,诮,11
3322,澜,5731,谰,11
4405,粟,2650,栗,11
4436,系,4435,糸,11
4517,绢,3128,涓,11
5041,茵,5118,菌,11
5249,蕴,5247,蕰,11
5681,诼,3152,涿,11
5787,贷,5771,货,11
5864,跌,5856,趺,11
6026,迂,6025,迁,11
6213,酪,6212,酩,11
279,倍,262,信,10
999,囗,656,口,10
1208,夫,1209,夬,10
1784,径,4499,经,10
1829,快,1849,怏,10
2141,拨,2126,拔,10
2642,栋,2644,栎,10
3039,泪,2966,汨,10
3307,潭,5728,谭,10
3814,疽,3811,疸,10
3972,睢,6628,雎,10
4498,绎,4510,绛,10
4952,芝,4947,芒,10
5485,袆,4137,祎,10
5615,讷,2969,汭,10
6368,铬,6369,铭,10
57,乒,380,兵,9
79,二,92,亠,9
162,休,195,体,9
557,匕,3,七,9
578,升,1727,开,9
639,叁,640,参,9
1048,坎,1056,坝,9
1349,嫒,1338,媛,9
1456,寸,2053,扌,9
1709,庾,1712,廋,9
1970,感,1936,惑,9
2018,戍,2017,戌,9
2104,抱,2098,抢,9
2564,来,4677,耒,9
3003,沪,3049,泸,9
3006,沮,5628,诅,9
3014,沽,5625,诂,9
3063,洗,418,冼,9
3608,王,86,五,9
3909,盂,1382,孟,9
4008,矛,76,予,9
4595,缴,3331,激,9
4675,耍,5551,要,9
5116,菇,5044,茹,9
5145,萎,5186,蒌,9
5440,蟥,5422,螨,9
5633,诋,3031,泜,9
6201,酒,3062,洒,9
6564,阵,6576,陈,9
15,且,2419,旦,8
52,乌,7029,鸟,8
344,僳,323,傈,8
355,元,2416,无,8
396,冒,2441,昌,8
431,几,352,儿,8
719,吹,735,呗,8
777,咪,746,味,8
1056,坝,1048,坎,8
1371,孑,1370,子,8
1471,尖,1472,尘,8
1742,弛,6836,驰,8
1934,惊,1933,惇,8
2163,挖,2228,控,8
2466,晌,798,响,8
2542,朴,2056,扑,8
2645,栏,2139,拦,8
2693,桶,2186,捅,8
2921,氓,3042,泯,8
2962,江,5601,讧,8
2966,汨,2967,汩,8
3039,泪,3006,沮,8
3235,溢,5720,谥,8
3476,爪,3717,瓜,8
3930,盯,4697,耵,8
4262,竖,1053,坚,8
4327,筹,4306,等,8
4476,纷,2976,汾,8
4521,绦,3140,涤,8
4744,肮,2524,朊,8
4815,脸,3968,睑,8
5042,茶,5082,荼,8
5388,蜻,5409,蝽,8
5598,认,5597,讣,8
5828,赢,1367,嬴,8
6032,运,6040,远,8
6193,酉,5550,西,8
6212,酩,6213,酪,8
6237,醒,6219,酲,8
6307,钩,6305,钧,8
6445,锻,4559,缎,8
6508,闭,6513,闲,8
6563,阴,6562,阳,8
28,丧,5470,表,7
61,乘,60,乖,7
