class_id,train_support,test_support,support_tier,top1_accuracy,recall
0,765,201,head,1.0,1.0
1,541,144,head,1.0,1.0
2,537,142,mid,0.9577464788732394,0.9577464788732394
3,540,141,mid,0.900709219858156,0.900709219858156
4,540,143,mid,0.9230769230769231,0.9230769230769231
5,540,145,mid,0.9724137931034482,0.9724137931034482
6,537,144,mid,0.9305555555555556,0.9305555555555556
7,538,144,mid,0.9236111111111112,0.9236111111111112
8,541,144,head,0.9652777777777778,0.9652777777777778
9,214,59,tail,0.9830508474576272,0.9830508474576272
10,544,142,head,0.9507042253521126,0.9507042253521126
11,542,144,head,0.9652777777777778,0.9652777777777778
12,314,83,mid,1.0,1.0
13,543,143,head,0.9790209790209791,0.9790209790209791
14,540,143,mid,0.9790209790209791,0.9790209790209791
15,540,141,mid,0.8723404255319149,0.8723404255319149
16,216,59,tail,1.0,1.0
17,539,144,mid,0.9513888888888888,0.9513888888888888
18,534,145,mid,0.9724137931034482,0.9724137931034482
19,543,143,head,0.965034965034965,0.965034965034965
20,543,143,head,0.958041958041958,0.958041958041958
21,543,139,head,0.9928057553956835,0.9928057553956835
22,541,142,head,0.9225352112676056,0.9225352112676056
23,537,142,mid,0.971830985915493,0.971830985915493
24,216,59,tail,1.0,1.0
25,540,140,mid,0.9571428571428572,0.9571428571428572
26,539,141,mid,0.9361702127659575,0.9361702127659575
27,538,143,mid,0.986013986013986,0.986013986013986
28,536,142,mid,0.9366197183098591,0.9366197183098591
29,216,59,tail,0.9830508474576272,0.9830508474576272
30,542,142,head,0.9788732394366197,0.9788732394366197
31,538,144,mid,0.9722222222222222,0.9722222222222222
32,216,60,tail,0.9666666666666667,0.9666666666666667
33,537,143,mid,0.916083916083916,0.916083916083916
34,540,141,mid,0.9290780141843972,0.9290780141843972
35,540,142,mid,0.971830985915493,0.971830985915493
36,538,143,mid,0.965034965034965,0.965034965034965
37,216,59,tail,1.0,1.0
38,539,144,mid,0.9861111111111112,0.9861111111111112
39,539,140,mid,0.95,0.95
40,536,142,mid,0.9436619718309859,0.9436619718309859
41,540,141,mid,0.900709219858156,0.900709219858156
42,538,142,mid,0.9788732394366197,0.9788732394366197
43,540,142,mid,0.9788732394366197,0.9788732394366197
44,216,59,tail,0.9830508474576272,0.9830508474576272
45,213,60,tail,0.9333333333333333,0.9333333333333333
46,535,142,mid,0.9647887323943662,0.9647887323943662
47,541,144,head,0.875,0.875
48,216,57,tail,0.9649122807017544,0.9649122807017544
49,533,144,mid,0.8958333333333334,0.8958333333333334
50,540,144,mid,0.9027777777777778,0.9027777777777778
51,543,145,head,0.7034482758620689,0.7034482758620689
52,540,143,mid,0.9440559440559441,0.9440559440559441
53,540,143,mid,0.9790209790209791,0.9790209790209791
54,540,142,mid,0.8098591549295775,0.8098591549295775
55,539,142,mid,0.9436619718309859,0.9436619718309859
56,538,142,mid,0.9154929577464789,0.9154929577464789
57,521,140,mid,0.9,0.9
58,531,143,mid,0.9370629370629371,0.9370629370629371
59,539,143,mid,0.9790209790209791,0.9790209790209791
60,513,135,mid,0.8814814814814815,0.8814814814814815
61,549,141,head,0.9574468085106383,0.9574468085106383
62,537,144,mid,0.9583333333333334,0.9583333333333334
63,211,60,tail,1.0,1.0
64,541,143,head,0.9790209790209791,0.9790209790209791
65,534,143,mid,0.965034965034965,0.965034965034965
66,542,144,head,0.9583333333333334,0.9583333333333334
67,540,143,mid,0.9090909090909091,0.9090909090909091
68,537,144,mid,0.9583333333333334,0.9583333333333334
69,537,143,mid,0.972027972027972,0.972027972027972
70,215,60,tail,0.9833333333333333,0.9833333333333333
71,537,143,mid,0.9440559440559441,0.9440559440559441
72,540,142,mid,0.9859154929577465,0.9859154929577465
73,540,142,mid,0.9788732394366197,0.9788732394366197
74,538,144,mid,1.0,1.0
75,538,143,mid,0.9230769230769231,0.9230769230769231
76,542,143,head,0.986013986013986,0.986013986013986
77,540,144,mid,0.9791666666666666,0.9791666666666666
78,539,141,mid,0.9574468085106383,0.9574468085106383
79,542,142,head,0.9014084507042254,0.9014084507042254
80,215,58,tail,0.9137931034482759,0.9137931034482759
81,543,145,head,0.8620689655172413,0.8620689655172413
82,537,144,mid,0.9027777777777778,0.9027777777777778
83,541,144,head,0.9305555555555556,0.9305555555555556
84,541,142,head,0.9577464788732394,0.9577464788732394
85,216,60,tail,0.9833333333333333,0.9833333333333333
86,538,143,mid,0.9230769230769231,0.9230769230769231
87,540,142,mid,0.9788732394366197,0.9788732394366197
88,216,59,tail,1.0,1.0
89,540,143,mid,0.9790209790209791,0.9790209790209791
90,534,143,mid,0.9790209790209791,0.9790209790209791
91,216,59,tail,0.9661016949152542,0.9661016949152542
92,215,58,tail,0.9827586206896551,0.9827586206896551
93,541,144,head,0.875,0.875
94,538,143,mid,0.9370629370629371,0.9370629370629371
95,540,142,mid,0.971830985915493,0.971830985915493
96,538,140,mid,0.9928571428571429,0.9928571428571429
97,542,143,head,0.8951048951048951,0.8951048951048951
98,540,142,mid,0.9507042253521126,0.9507042253521126
99,518,137,mid,0.8321167883211679,0.8321167883211679
100,535,143,mid,0.965034965034965,0.965034965034965
101,541,142,head,0.9577464788732394,0.9577464788732394
102,541,144,head,0.9027777777777778,0.9027777777777778
103,539,142,mid,0.971830985915493,0.971830985915493
104,539,143,mid,0.986013986013986,0.986013986013986
105,537,144,mid,0.9583333333333334,0.9583333333333334
106,215,59,tail,0.9152542372881356,0.9152542372881356
107,216,58,tail,1.0,1.0
108,214,60,tail,0.9833333333333333,0.9833333333333333
109,216,60,tail,0.9833333333333333,0.9833333333333333
110,538,144,mid,0.9513888888888888,0.9513888888888888
111,216,60,tail,0.9833333333333333,0.9833333333333333
112,542,143,head,0.972027972027972,0.972027972027972
113,535,144,mid,0.9722222222222222,0.9722222222222222
114,535,144,mid,0.9444444444444444,0.9444444444444444
115,216,59,tail,0.9661016949152542,0.9661016949152542
116,216,60,tail,0.9833333333333333,0.9833333333333333
117,214,59,tail,0.9830508474576272,0.9830508474576272
118,542,143,head,0.9090909090909091,0.9090909090909091
119,537,144,mid,0.9652777777777778,0.9652777777777778
120,540,140,mid,0.95,0.95
121,217,60,mid,0.9666666666666667,0.9666666666666667
122,540,144,mid,0.9375,0.9375
123,540,142,mid,0.9366197183098591,0.9366197183098591
124,537,144,mid,0.9513888888888888,0.9513888888888888
125,539,142,mid,0.9507042253521126,0.9507042253521126
126,536,143,mid,0.951048951048951,0.951048951048951
127,542,143,head,0.9300699300699301,0.9300699300699301
128,539,143,mid,0.9790209790209791,0.9790209790209791
129,535,143,mid,0.8671328671328671,0.8671328671328671
130,536,143,mid,0.972027972027972,0.972027972027972
131,541,144,head,0.9861111111111112,0.9861111111111112
132,540,142,mid,0.9366197183098591,0.9366197183098591
133,541,142,head,0.9436619718309859,0.9436619718309859
134,216,59,tail,0.9830508474576272,0.9830508474576272
135,216,60,tail,0.95,0.95
136,533,143,mid,0.8951048951048951,0.8951048951048951
137,216,59,tail,0.9830508474576272,0.9830508474576272
138,540,140,mid,0.9428571428571428,0.9428571428571428
139,536,143,mid,0.8951048951048951,0.8951048951048951
140,539,143,mid,0.9300699300699301,0.9300699300699301
141,216,60,tail,0.95,0.95
142,539,143,mid,0.9230769230769231,0.9230769230769231
143,216,60,tail,1.0,1.0
144,535,143,mid,0.9790209790209791,0.9790209790209791
145,538,143,mid,0.965034965034965,0.965034965034965
146,539,144,mid,0.9097222222222222,0.9097222222222222
147,216,60,tail,0.9833333333333333,0.9833333333333333
148,215,60,tail,0.9833333333333333,0.9833333333333333
149,537,140,mid,0.9,0.9
150,536,143,mid,0.965034965034965,0.965034965034965
151,541,144,head,0.9305555555555556,0.9305555555555556
152,541,142,head,0.8732394366197183,0.8732394366197183
153,539,141,mid,0.950354609929078,0.950354609929078
154,538,144,mid,0.9791666666666666,0.9791666666666666
155,216,60,tail,1.0,1.0
156,537,144,mid,0.9652777777777778,0.9652777777777778
157,216,60,tail,0.9833333333333333,0.9833333333333333
158,537,142,mid,0.9577464788732394,0.9577464788732394
159,535,141,mid,0.9574468085106383,0.9574468085106383
160,542,141,head,0.9432624113475178,0.9432624113475178
161,536,142,mid,0.9154929577464789,0.9154929577464789
162,533,141,mid,0.8865248226950354,0.8865248226950354
163,540,143,mid,0.972027972027972,0.972027972027972
164,542,143,head,0.9230769230769231,0.9230769230769231
165,535,143,mid,0.916083916083916,0.916083916083916
166,540,141,mid,0.950354609929078,0.950354609929078
167,216,60,tail,1.0,1.0
168,538,143,mid,0.965034965034965,0.965034965034965
169,541,144,head,0.9722222222222222,0.9722222222222222
170,540,142,mid,0.9295774647887324,0.9295774647887324
171,216,59,tail,1.0,1.0
172,536,144,mid,0.9166666666666666,0.9166666666666666
173,216,59,tail,0.9491525423728814,0.9491525423728814
174,540,143,mid,0.9230769230769231,0.9230769230769231
175,216,60,tail,0.9833333333333333,0.9833333333333333
176,541,143,head,0.951048951048951,0.951048951048951
177,216,60,tail,1.0,1.0
178,543,142,head,0.8943661971830986,0.8943661971830986
179,541,142,head,0.9014084507042254,0.9014084507042254
180,216,60,tail,0.9666666666666667,0.9666666666666667
181,542,142,head,0.9366197183098591,0.9366197183098591
182,536,142,mid,0.9225352112676056,0.9225352112676056
183,539,142,mid,0.9225352112676056,0.9225352112676056
184,535,140,mid,0.8785714285714286,0.8785714285714286
185,538,140,mid,0.95,0.95
186,216,60,tail,0.9833333333333333,0.9833333333333333
187,216,60,tail,0.9333333333333333,0.9333333333333333
188,538,138,mid,0.9855072463768116,0.9855072463768116
189,541,142,head,0.9295774647887324,0.9295774647887324
190,540,142,mid,0.9225352112676056,0.9225352112676056
191,539,142,mid,0.9647887323943662,0.9647887323943662
192,539,143,mid,0.8531468531468531,0.8531468531468531
193,537,142,mid,0.9577464788732394,0.9577464788732394
194,543,143,head,0.9300699300699301,0.9300699300699301
195,540,142,mid,0.9366197183098591,0.9366197183098591
196,540,142,mid,0.9014084507042254,0.9014084507042254
197,216,60,tail,0.95,0.95
198,216,59,tail,0.9152542372881356,0.9152542372881356
199,541,144,head,0.8541666666666666,0.8541666666666666
200,216,59,tail,0.9491525423728814,0.9491525423728814
201,540,140,mid,0.95,0.95
202,540,144,mid,0.9513888888888888,0.9513888888888888
203,216,60,tail,0.9833333333333333,0.9833333333333333
204,216,59,tail,1.0,1.0
205,216,60,tail,0.9833333333333333,0.9833333333333333
206,535,144,mid,0.9097222222222222,0.9097222222222222
207,542,143,head,0.951048951048951,0.951048951048951
208,216,60,tail,1.0,1.0
209,216,58,tail,1.0,1.0
210,216,60,tail,0.9833333333333333,0.9833333333333333
211,538,144,mid,0.9861111111111112,0.9861111111111112
212,534,141,mid,0.950354609929078,0.950354609929078
213,538,144,mid,0.9097222222222222,0.9097222222222222
214,543,142,head,0.8802816901408451,0.8802816901408451
215,538,142,mid,0.8943661971830986,0.8943661971830986
216,216,60,tail,0.9833333333333333,0.9833333333333333
217,216,59,tail,0.9830508474576272,0.9830508474576272
218,216,60,tail,0.9833333333333333,0.9833333333333333
219,214,60,tail,0.9833333333333333,0.9833333333333333
220,216,60,tail,0.9833333333333333,0.9833333333333333
221,538,143,mid,0.951048951048951,0.951048951048951
222,216,59,tail,0.9661016949152542,0.9661016949152542
223,541,142,head,0.9436619718309859,0.9436619718309859
224,537,137,mid,0.9343065693430657,0.9343065693430657
225,216,60,tail,0.9666666666666667,0.9666666666666667
226,540,142,mid,0.9577464788732394,0.9577464788732394
227,535,143,mid,0.958041958041958,0.958041958041958
228,216,60,tail,0.95,0.95
229,216,60,tail,0.9833333333333333,0.9833333333333333
230,216,60,tail,0.9833333333333333,0.9833333333333333
231,535,139,mid,0.935251798561151,0.935251798561151
232,542,142,head,0.9929577464788732,0.9929577464788732
233,542,143,head,0.972027972027972,0.972027972027972
234,540,144,mid,0.9375,0.9375
235,539,143,mid,0.958041958041958,0.958041958041958
236,536,141,mid,0.9716312056737588,0.9716312056737588
237,540,145,mid,0.9724137931034482,0.9724137931034482
238,542,143,head,0.965034965034965,0.965034965034965
239,540,144,mid,0.9513888888888888,0.9513888888888888
240,533,142,mid,0.9436619718309859,0.9436619718309859
241,217,60,mid,0.9666666666666667,0.9666666666666667
242,216,60,tail,0.9833333333333333,0.9833333333333333
243,539,142,mid,0.9647887323943662,0.9647887323943662
244,540,142,mid,0.9436619718309859,0.9436619718309859
245,539,143,mid,0.972027972027972,0.972027972027972
246,540,143,mid,0.916083916083916,0.916083916083916
247,542,141,head,0.9078014184397163,0.9078014184397163
248,537,141,mid,0.9858156028368794,0.9858156028368794
249,216,59,tail,1.0,1.0
250,535,143,mid,0.9370629370629371,0.9370629370629371
251,216,59,tail,0.9830508474576272,0.9830508474576272
252,540,143,mid,0.916083916083916,0.916083916083916
253,535,141,mid,0.9716312056737588,0.9716312056737588
254,216,60,tail,1.0,1.0
255,535,142,mid,0.9295774647887324,0.9295774647887324
256,541,141,head,0.950354609929078,0.950354609929078
257,215,60,tail,1.0,1.0
258,216,60,tail,1.0,1.0
259,544,142,head,0.9295774647887324,0.9295774647887324
260,541,144,head,0.9791666666666666,0.9791666666666666
261,216,60,tail,0.95,0.95
262,540,142,mid,0.8732394366197183,0.8732394366197183
263,215,60,tail,0.9833333333333333,0.9833333333333333
264,216,60,tail,0.9666666666666667,0.9666666666666667
265,216,60,tail,1.0,1.0
266,539,142,mid,0.9929577464788732,0.9929577464788732
267,216,60,tail,1.0,1.0
268,537,141,mid,0.9148936170212766,0.9148936170212766
269,540,144,mid,0.9861111111111112,0.9861111111111112
270,537,141,mid,0.9929078014184397,0.9929078014184397
271,540,144,mid,0.9513888888888888,0.9513888888888888
272,216,60,tail,0.9833333333333333,0.9833333333333333
273,215,60,tail,0.9833333333333333,0.9833333333333333
274,216,60,tail,0.9666666666666667,0.9666666666666667
275,216,60,tail,1.0,1.0
276,542,141,head,0.9858156028368794,0.9858156028368794
277,216,60,tail,0.9833333333333333,0.9833333333333333
278,216,60,tail,0.9833333333333333,0.9833333333333333
279,541,140,head,0.8785714285714286,0.8785714285714286
280,216,60,tail,1.0,1.0
281,543,141,head,0.9148936170212766,0.9148936170212766
282,216,60,tail,0.9333333333333333,0.9333333333333333
283,539,144,mid,0.9861111111111112,0.9861111111111112
284,536,141,mid,0.950354609929078,0.950354609929078
285,539,142,mid,0.9436619718309859,0.9436619718309859
