target,target_label,prediction,prediction_label,count
656,口,999,囗,39
1370,子,1371,孑,35
3970,睛,2485,晴,32
2512,曰,2418,日,31
1620,已,1619,己,29
5595,计,2947,汁,29
480,刺,490,剌,28
1621,巳,1620,已,27
576,千,1667,干,26
3481,父,2352,攵,26
1210,夭,1206,天,25
1619,己,1620,已,24
2418,日,2512,曰,24
2949,汆,2945,氽,24
5671,诲,3118,海,24
5697,谍,3198,渫,24
2780,榛,2764,楱,23
3082,活,5651,话,23
5651,话,3082,活,23
660,叨,678,叼,21
1184,士,598,卤,21
2074,扶,2083,抉,21
5524,裸,4158,祼,21
5674,诵,3125,涌,21
3902,皙,2484,晳,20
4001,瞳,2505,曈,20
4265,竟,4264,竞,20
4947,芒,4952,芝,20
5620,讽,3001,沨,20
5652,诞,3126,涎,20
5703,谓,3199,渭,20
5728,谭,3307,潭,20
54,乎,2052,手,19
3199,渭,5703,谓,19
3864,瘦,3853,瘐,19
5693,谈,3168,淡,19
2946,汀,5596,订,18
3009,河,5626,诃,18
3180,清,5676,请,18
3288,漫,5724,谩,18
4725,肋,523,助,18
5656,询,3079,洵,18
5676,请,3180,清,18
5680,读,3184,渎,18
5700,谐,3216,湝,18
5719,谤,3250,滂,18
6576,陈,6564,阵,18
1185,壬,3608,王,17
2957,汗,5600,讦,17
4264,竞,4265,竟,17
4411,粱,2695,梁,17
5649,诛,3064,洙,17
5666,语,3116,浯,17
5677,诸,3190,渚,17
5731,谰,3322,澜,17
5732,谱,3315,潽,17
7033,鸣,739,呜,17
449,刁,448,刀,16
678,叼,660,叨,16
739,呜,7033,鸣,16
3123,消,3159,淌,16
5608,讯,2958,汛,16
5686,谁,3173,淮,16
5691,谆,3175,淳,16
5724,谩,3288,漫,16
99,亨,101,享,15
999,囗,656,口,15
1807,徽,1803,微,15
2956,汕,5604,讪,15
3175,淳,5691,谆,15
4747,育,4727,肓,15
5596,订,2946,汀,15
5618,论,2999,沦,15
5639,译,3053,泽,15
1144,堤,2249,提,14
2958,汛,5608,讯,14
2997,沤,5612,讴,14
4338,算,4332,箅,14
4996,苟,4992,苘,14
5249,蕴,5247,蕰,14
5621,设,2995,没,14
5628,诅,3006,沮,14
6397,锉,4016,矬,14
415,冶,3012,治,13
1796,徘,4529,绯,13
2370,敞,2369,敝,13
2947,汁,5595,计,13
3012,治,415,冶,13
3055,洁,5646,诘,13
3063,洗,418,冼,13
3099,浑,5662,诨,13
3118,海,5671,诲,13
3623,玫,3612,玖,13
51,之,6021,辶,12
60,乖,61,乘,12
1027,土,598,卤,12
1456,寸,2053,扌,12
1829,快,1849,怏,12
2496,暖,2499,暧,12
2536,未,2537,末,12
2995,没,5621,设,12
3083,洼,5644,诖,12
3113,浩,5669,诰,12
3125,涌,5674,诵,12
3191,渝,5705,谕,12
3275,滴,5725,谪,12
3623,玫,3616,玟,12
3789,疗,3787,疔,12
3853,瘐,3864,瘦,12
5106,获,5107,莸,12
5660,详,3058,洋,12
7029,鸟,52,乌,12
57,乒,380,兵,11
129,仕,151,任,11
578,升,1727,开,11
1277,姐,1270,妲,11
1784,径,4499,经,11
1888,恩,1857,思,11
2018,戍,2017,戌,11
2466,晌,798,响,11
2667,桃,2162,挑,11
2908,毫,106,亳,11
2967,汩,2966,汨,11
2977,沁,3022,泌,11
2987,沐,3005,沭,11
3006,沮,5628,诅,11
3062,洒,6201,酒,11
3063,洗,5650,诜,11
3172,淬,5692,谇,11
3173,淮,5686,谁,11
3972,睢,6628,雎,11
4436,系,4435,糸,11
5041,茵,5118,菌,11
5199,蒽,5179,葸,11
5483,袄,4134,祆,11
6025,迁,6026,迂,11
6201,酒,3062,洒,11
164,优,160,伏,10
352,儿,431,几,10
396,冒,2441,昌,10
646,反,118,仅,10
719,吹,735,呗,10
1620,已,1621,巳,10
1709,庾,1712,廋,10
1742,弛,6836,驰,10
1797,徙,1793,徒,10
2141,拨,2126,拔,10
2228,控,2163,挖,10
2436,昂,2457,昴,10
2537,末,2536,未,10
2564,来,4677,耒,10
2624,柠,2140,拧,10
2945,氽,2949,汆,10
2999,沦,5618,论,10
3014,沽,5625,诂,10
4434,糵,5282,蘖,10
4675,耍,5551,要,10
5034,茫,5039,茳,10
6032,运,6040,远,10
15,且,2419,旦,9
50,义,45,乂,9
106,亳,2908,毫,9
162,休,195,体,9
199,余,198,佘,9
279,倍,262,信,9
418,冼,3063,洗,9
431,几,352,儿,9
639,叁,640,参,9
1045,坊,1032,圬,9
1184,士,1027,土,9
2083,抉,2074,扶,9
2104,抱,2098,抢,9
2352,攵,1191,夂,9
2485,晴,3970,睛,9
2499,暧,2496,暖,9
2962,江,2950,汇,9
3104,浙,3155,淅,9
3156,淆,3108,浠,9
3214,湛,5696,谌,9
3235,溢,5720,谥,9
3322,澜,5731,谰,9
3608,王,86,五,9
3956,眯,2452,昧,9
4008,矛,76,予,9
4146,祟,1567,崇,9
5096,莨,5029,茛,9
5106,获,5081,荻,9
5116,菇,5044,茹,9
5372,蜓,5371,蜒,9
5702,谒,3202,渴,9
5828,赢,1367,嬴,9
5864,跌,5856,趺,9
6026,迂,6025,迁,9
6193,酉,5550,西,9
6563,阴,6562,阳,9
102,京,101,享,8
146,仲,183,伸,8
152,份,172,伤,8
172,伤,152,份,8
192,住,6615,隹,8
246,便,221,使,8
358,兆,559,北,8
416,冷,3033,泠,8
598,卤,1027,土,8
777,咪,746,味,8
1011,困,1007,团,8
1048,坎,1056,坝,8
1228,奏,4189,秦,8
1349,嫒,1338,媛,8
1934,惊,1933,惇,8
2105,抵,2076,扺,8
2235,掰,2290,搿,8
2645,栏,2139,拦,8
2693,桶,2186,捅,8
2894,毋,2895,母,8
2962,江,5601,讧,8
2966,汨,2967,汩,8
3039,泪,2966,汨,8
3039,泪,3006,沮,8
3053,泽,5639,译,8
3123,消,5667,诮,8
3126,涎,5652,诞,8
3168,淡,5693,谈,8
3284,漠,5714,谟,8
3476,爪,3717,瓜,8
3814,疽,3811,疸,8
3932,盲,4727,肓,8
4158,祼,5524,裸,8
4875,自,3890,白,8
5462,衔,5463,街,8
5615,讷,2969,汭,8
5626,诃,3009,河,8
5644,诖,3083,洼,8
5690,谅,424,凉,8
5690,谅,5691,谆,8
5736,谵,3329,澹,8
5787,贷,5771,货,8
6305,钧,6307,钩,8
6399,锋,6343,铎,8
79,二,92,亠,7
86,五,3608,王,7
118,仅,646,反,7
196,何,692,向,7
344,僳,323,傈,7
355,元,2416,无,7
364,兔,362,免,7
438,凳,3889,登,7
609,卵,604,卯,7
658,句,550,匀,7
842,唧,877,啷,7
1075,垃,2118,拉,7
1118,域,1108,城,7
1371,孑,1370,子,7
1471,尖,1472,尘,7
1477,尤,3524,犬,7
1726,廿,3736,甘,7
1850,怒,1879,恕,7
1970,感,1936,惑,7
1988,慨,2770,概,7
2014,戈,1735,弋,7
2098,抢,2097,抡,7
2135,拢,2072,扰,7
2183,挽,2199,换,7
2194,捐,2251,揖,7
2423,旬,658,句,7
2442,明,2525,朋,7
2525,朋,2442,明,7
2539,札,2055,扎,7
2564,来,2561,束,7
2569,杭,2091,抗,7
2585,析,2092,折,7
2648,栓,2149,拴,7
2702,梢,2192,捎,7
2750,椽,2242,掾,7
2818,橇,2321,撬,7
2921,氓,3042,泯,7
2975,汽,2955,汔,7
3006,沮,3039,泪,7
3013,沼,5637,诏,7
3034,泡,3000,沧,7
3035,波,5638,诐,7
3064,洙,5649,诛,7
3116,浯,5666,语,7
3184,渎,5680,读,7
3202,渴,5702,谒,7
3481,父,1191,夂,7
3909,盂,1382,孟,7
4184,秕,2582,枇,7
4262,竖,1053,坚,7
4405,粟,2650,栗,7
4468,纯,2985,沌,7
4517,绢,3128,涓,7
4521,绦,3140,涤,7
4542,综,3164,淙,7
4595,缴,1806,徼,7
4618,署,2495,暑,7
4729,肘,2430,时,7
4733,肝,2427,旰,7
5019,茉,5038,茱,7
5044,茹,5116,菇,7
5107,莸,5106,获,7
5258,薛,5259,薜,7
5637,诏,3013,沼,7
5662,诨,3099,浑,7
5668,误,3160,淏,7
5720,谥,3235,溢,7
5797,赁,435,凭,7
5877,跤,5890,跻,7
6017,辩,6018,辫,7
6212,酩,6213,酪,7
6513,闲,6508,闭,7
6615,隹,192,住,7
6849,驾,2605,架,7
6961,鲛,6960,鲚,7
7049,鸵,4911,舵,7
52,乌,7029,鸟,6
58,乓,380,兵,6
81,于,1667,干,6
122,今,139,令,6
139,令,55,乏,6
184,伺,196,何,6
262,信,279,倍,6
355,元,94,亢,6
372,八,110,人,6
382,具,638,县,6
423,凇,3166,淞,6
433,凤,6760,风,6
469,刨,465,创,6
490,剌,480,刺,6
523,助,4725,肋,6
557,匕,3,七,6
598,卤,1184,士,6
599,卦,6279,钋,6
615,厂,2,丁,6
617,厅,4,万,6
807,哗,805,哔,6
1123,埴,1159,填,6
1155,塔,2286,搭,6
1208,夫,1209,夬,6
1382,孟,3909,盂,6
1476,尢,1477,尤,6
1619,己,62,乙,6
1688,底,1693,府,6
1796,徘,272,俳,6
1890,恫,2676,桐,6
2018,戍,2021,成,6
2416,无,355,元,6
2422,早,2428,旱,6
2457,昴,2436,昂,6
2494,暌,3980,睽,6
2497,暗,894,喑,6
2542,朴,2056,扑,6
2556,村,2555,材,6
2573,杳,2626,查,6
2579,板,2073,扳,6
2581,构,2607,枸,6
2591,枝,2080,技,6
2593,枢,2096,抠,6
2626,查,2573,杳,6
2628,柬,2561,束,6
2630,柰,1224,奈,6
2642,栋,2644,栎,6
2666,桂,2157,挂,6
2684,档,2170,挡,6
2719,棒,2201,捧,6
2772,榆,2243,揄,6
2809,模,2305,摸,6
2918,氏,2919,氐,6
3003,沪,3049,泸,6
3009,河,6509,问,6
3012,治,5640,诒,6
3058,洋,5660,详,6
3066,洛,3081,洺,6
3079,洵,5656,询,6
3104,浙,3185,渐,6
3307,潭,5728,谭,6
3612,玖,3623,玫,6
3623,玫,2355,改,6
3694,瑷,3683,瑗,6
3755,甸,2423,旬,6
3811,疸,3814,疽,6
3935,盹,4742,肫,6
3954,眬,2461,昽,6
3980,睽,2494,暌,6
4137,祎,5485,袆,6
4191,秩,4190,秧,6
4296,第,4295,笫,6
4470,纱,2991,沙,6
4476,纷,2976,汾,6
4498,绎,4510,绛,6
4533,绳,3186,渑,6
4543,绽,3153,淀,6
4588,缭,3306,潦,6
4744,肮,2524,朊,6
4754,肿,4757,胂,6
4854,膛,3992,瞠,6
4933,艹,1725,廾,6
4951,芜,4961,芫,6
5003,苫,5002,苦,6
5042,茶,5082,荼,6
5101,莱,5123,菜,6
5604,讪,2956,汕,6
5605,讫,2955,汔,6
5625,诂,3014,沽,6
5633,诋,3031,泜,6
5634,诌,5689,谄,6
5667,诮,3123,消,6
5669,诰,3113,浩,6
5675,诶,3131,涘,6
5681,诼,3152,涿,6
6018,辫,6017,辩,6
6021,辶,51,之,6
6067,选,6052,迭,6
6085,逢,6064,逄,6
6213,酪,6212,酩,6
6286,钓,4460,约,6
6304,钦,6299,钡,6
6305,钧,6286,钓,6
6423,锤,6444,锺,6
6562,阳,6563,阴,6
6721,顽,6727,颃,6
6836,驰,1742,弛,6
7049,鸵,6847,驼,6
7057,鸽,7045,鸰,6
3,七,45,乂,5
33,中,3752,申,5
40,为,514,力,5
47,久,1191,夂,5
51,之,93,亡,5
67,习,449,刁,5
161,伐,138,代,5
168,伞,1669,年,5
178,伯,214,佰,5
213,佯,181,伴,5
221,使,246,便,5
252,俏,284,倘,5
340,僬,3426,焦,5
370,入,372,八,5
380,兵,58,乓,5
400,写,52,乌,5
448,刀,449,刁,5
525,劫,608,却,5
547,勺,1197,夕,5
548,勾,549,勿,5
581,半,34,丰,5
684,合,375,兮,5
