target,target_label,prediction,prediction_label,count
656,口,999,囗,71
1370,子,1371,孑,55
1184,士,598,卤,53
3623,玫,3616,玟,50
660,叨,678,叼,47
5524,裸,4158,祼,46
6397,锉,4016,矬,45
480,刺,490,剌,39
5700,谐,3216,湝,38
5677,诸,3190,渚,37
5680,读,3184,渎,36
51,之,6021,辶,35
1621,巳,1620,已,35
3970,睛,2485,晴,35
5483,袄,4134,祆,35
5595,计,2947,汁,34
5649,诛,3064,洙,34
2987,沐,3005,沭,33
5145,萎,5186,蒌,32
5620,讽,3001,沨,32
7033,鸣,739,呜,32
576,千,1667,干,31
2496,暖,2499,暧,31
3481,父,2352,攵,31
7030,鸠,7038,鸩,31
1027,土,598,卤,30
1620,已,1619,己,30
2512,曰,2418,日,30
5719,谤,3250,滂,30
739,呜,7033,鸣,29
2235,掰,2290,搿,29
3055,洁,5646,诘,29
4747,育,4727,肓,29
3113,浩,5669,诰,28
5666,语,3116,浯,28
5671,诲,3118,海,28
1619,己,1620,已,27
3099,浑,5662,诨,27
5697,谍,3198,渫,27
7029,鸟,52,乌,27
3864,瘦,3853,瘐,26
4296,第,4295,笫,26
199,余,198,佘,25
1456,寸,2053,扌,25
1829,快,1849,怏,25
3104,浙,3155,淅,25
5656,询,3079,洵,25
5674,诵,3125,涌,25
5828,赢,5445,蠃,25
6085,逢,6064,逄,25
1210,夭,1206,天,24
2956,汕,5604,讪,24
3063,洗,418,冼,24
3191,渝,5705,谕,24
2418,日,2512,曰,23
3021,泊,3060,洎,23
4338,算,4332,箅,23
5691,谆,3175,淳,23
5828,赢,1367,嬴,23
2997,沤,5612,讴,22
3083,洼,5644,诖,22
3275,滴,5725,谪,22
2908,毫,106,亳,21
2957,汗,5600,讦,21
4436,系,4435,糸,21
5651,话,3082,活,21
5676,请,3180,清,21
5724,谩,3288,漫,21
192,住,6615,隹,20
2780,榛,2764,楱,20
2949,汆,2945,氽,20
3062,洒,6201,酒,20
3172,淬,5692,谇,20
3180,清,5676,请,20
4411,粱,2695,梁,20
4744,肮,2524,朊,20
4947,芒,4952,芝,20
5372,蜓,5371,蜒,20
5728,谭,3307,潭,20
1857,思,1888,恩,19
1905,悄,1941,惝,19
2074,扶,2083,抉,19
3009,河,5626,诃,19
3014,沽,5625,诂,19
3814,疽,3811,疸,19
5249,蕴,5247,蕰,19
5596,订,2946,汀,19
5628,诅,3006,沮,19
5703,谓,3199,渭,19
5732,谱,3315,潽,19
52,乌,7029,鸟,18
2105,抵,2076,扺,18
2946,汀,5596,订,18
2947,汁,5595,计,18
3035,波,5638,诐,18
3284,漠,5714,谟,18
3935,盹,4742,肫,18
4264,竞,4265,竟,18
5618,论,2999,沦,18
6413,错,6411,锗,18
54,乎,2052,手,17
1144,堤,2249,提,17
1185,壬,3608,王,17
2962,江,5601,讧,17
3199,渭,5703,谓,17
3235,溢,5720,谥,17
4725,肋,523,助,17
5042,茶,5082,荼,17
5605,讫,2955,汔,17
5652,诞,3126,涎,17
5693,谈,3168,淡,17
5731,谰,3322,澜,17
6017,辩,6018,辫,17
6305,钧,6307,钩,17
6576,陈,6564,阵,17
449,刁,448,刀,16
1048,坎,1056,坝,16
1277,姐,1270,妲,16
2536,未,2537,末,16
3013,沼,5637,诏,16
3123,消,3159,淌,16
5621,设,2995,没,16
5660,详,3058,洋,16
6148,邻,6159,郐,16
6237,醒,6219,酲,16
60,乖,61,乘,15
415,冶,3012,治,15
719,吹,735,呗,15
1888,恩,1857,思,15
2423,旬,3755,甸,15
2564,来,4677,耒,15
2650,栗,4405,粟,15
2945,氽,2949,汆,15
3125,涌,5674,诵,15
3214,湛,5696,谌,15
4740,肩,2046,扃,15
4769,胜,4808,脞,15
5551,要,4675,耍,15
1045,坊,1032,圬,14
1208,夫,1209,夬,14
1620,已,1621,巳,14
3082,活,5651,话,14
3118,海,5671,诲,14
3307,潭,5728,谭,14
3623,玫,3612,玖,14
3902,皙,2484,晳,14
4265,竟,4264,竞,14
4816,脾,3974,睥,14
4996,苟,5047,荀,14
5106,获,5107,莸,14
5608,讯,2958,汛,14
5686,谁,3173,淮,14
5702,谒,3202,渴,14
6025,迁,6026,迂,14
6721,顽,6727,颃,14
57,乒,380,兵,13
323,傈,344,僳,13
431,几,352,儿,13
807,哗,805,哔,13
1807,徽,1804,徵,13
2370,敞,2369,敝,13
2485,晴,3970,睛,13
2581,构,2607,枸,13
2626,查,2573,杳,13
2958,汛,5608,讯,13
3012,治,5640,诒,13
3063,洗,5650,诜,13
3123,消,5667,诮,13
3175,淳,5691,谆,13
3288,漫,5724,谩,13
3909,盂,1382,孟,13
4146,祟,1567,崇,13
4754,肿,4757,胂,13
4951,芜,4961,芫,13
5041,茵,5118,菌,13
5639,译,3053,泽,13
5864,跌,5856,趺,13
6201,酒,3062,洒,13
6213,酪,6212,酩,13
129,仕,151,任,12
162,休,195,体,12
716,吴,2440,昊,12
1278,姑,1287,姞,12
1742,弛,6836,驰,12
1796,徘,4529,绯,12
1797,徙,1793,徒,12
1934,惊,1933,惇,12
2083,抉,2074,扶,12
2484,晳,3902,皙,12
2612,柏,2680,桕,12
2642,栋,2644,栎,12
2921,氓,3042,泯,12
2967,汩,2966,汨,12
3053,泽,5639,译,12
3126,涎,5652,诞,12
4024,矾,4039,砜,12
4675,耍,5551,要,12
4815,脸,3968,睑,12
5029,茛,5096,莨,12
5896,踏,5924,蹐,12
6018,辫,6017,辩,12
6193,酉,5550,西,12
6307,钩,6305,钧,12
6399,锋,6343,铎,12
6743,颖,6737,颍,12
6853,骂,4276,笃,12
15,且,2419,旦,11
99,亨,101,享,11
118,仅,646,反,11
279,倍,262,信,11
490,剌,480,刺,11
539,勒,543,勤,11
578,升,1727,开,11
604,卯,609,卵,11
682,各,699,吝,11
684,合,375,兮,11
777,咪,746,味,11
2018,戍,2021,成,11
2086,抒,2577,杼,11
2466,晌,798,响,11
2624,柠,2140,拧,11
3006,沮,5628,诅,11
3039,泪,2966,汨,11
3039,泪,3006,沮,11
3151,涸,3057,洇,11
3447,熄,3453,熜,11
3930,盯,3756,町,11
3972,睢,6628,雎,11
3989,瞑,2498,暝,11
4313,答,4288,笞,11
4733,肝,2427,旰,11
4741,肪,4734,肟,11
4775,胧,3954,眬,11
4854,膛,3992,瞠,11
5019,茉,5038,茱,11
5034,茫,5039,茳,11
