target,target_label,prediction,prediction_label,count
656,口,999,囗,59
1370,子,1371,孑,47
2780,榛,2764,楱,42
5677,诸,3190,渚,42
2512,曰,2418,日,39
3113,浩,5669,诰,38
480,刺,490,剌,35
3970,睛,2485,晴,35
5666,语,3116,浯,35
5697,谍,3198,渫,35
3009,河,5626,诃,34
5483,袄,4134,祆,34
5649,诛,3064,洙,34
3055,洁,5646,诘,33
2946,汀,5596,订,32
3063,洗,418,冼,32
3864,瘦,3853,瘐,32
5680,读,3184,渎,32
5620,讽,3001,沨,31
1184,士,598,卤,30
3623,玫,3616,玟,30
5700,谐,3216,湝,30
5524,裸,4158,祼,29
1620,已,1619,己,28
3083,洼,5644,诖,28
5719,谤,3250,滂,28
7033,鸣,739,呜,27
2947,汁,5595,计,26
576,千,1667,干,25
3275,滴,5725,谪,25
3284,漠,5714,谟,25
3481,父,2352,攵,25
4001,瞳,2505,曈,24
1210,夭,1206,天,23
1621,巳,1620,已,23
3014,沽,5625,诂,23
3099,浑,5662,诨,23
3191,渝,5705,谕,23
51,之,6021,辶,22
2418,日,2512,曰,22
2908,毫,106,亳,22
2949,汆,2945,氽,22
2957,汗,5600,讦,22
2987,沐,3005,沭,22
2997,沤,5612,讴,22
660,叨,678,叼,21
2956,汕,5604,讪,21
5728,谭,3307,潭,21
7029,鸟,52,乌,21
1619,己,1620,已,20
2074,扶,2083,抉,20
2962,江,5601,讧,20
3214,湛,5696,谌,20
3902,皙,2484,晳,20
4747,育,4727,肓,20
5595,计,2947,汁,20
5651,话,3082,活,20
5693,谈,3168,淡,20
3013,沼,5637,诏,19
3123,消,5667,诮,19
5671,诲,3118,海,19
5691,谆,3175,淳,19
5703,谓,3199,渭,19
5732,谱,3315,潽,19
1144,堤,2249,提,18
2958,汛,5608,讯,18
3012,治,5640,诒,18
3066,洛,3081,洺,18
4265,竟,4264,竞,18
4947,芒,4952,芝,18
4996,苟,4992,苘,18
5034,茫,5039,茳,18
5656,询,3079,洵,18
5676,请,3180,清,18
6397,锉,4016,矬,18
6576,陈,6564,阵,18
2496,暖,2499,暧,17
2995,没,5621,设,17
3039,泪,2966,汨,17
3082,活,5651,话,17
3118,海,5671,诲,17
3235,溢,5720,谥,17
4338,算,4332,箅,17
5106,获,5107,莸,17
5674,诵,3125,涌,17
5686,谁,3173,淮,17
54,乎,2052,手,16
99,亨,101,享,16
3104,浙,3155,淅,16
5249,蕴,5247,蕰,16
5724,谩,3288,漫,16
415,冶,3012,治,15
449,刁,448,刀,15
1185,壬,3608,王,15
1796,徘,4529,绯,15
3063,洗,5650,诜,15
3172,淬,5692,谇,15
3180,清,5676,请,15
3199,渭,5703,谓,15
3288,漫,5724,谩,15
3623,玫,3612,玖,15
4411,粱,2695,梁,15
4725,肋,523,助,15
396,冒,2441,昌,14
739,呜,7033,鸣,14
842,唧,877,啷,14
1456,寸,2053,扌,14
1888,恩,1857,思,14
2999,沦,5618,论,14
3126,涎,5652,诞,14
3814,疽,3811,疸,14
3935,盹,4742,肫,14
4436,系,4435,糸,14
5639,译,3053,泽,14
5660,详,3058,洋,14
5864,跌,5856,趺,14
6213,酪,6212,酩,14
719,吹,735,呗,13
1027,土,598,卤,13
1056,坝,1048,坎,13
1208,夫,1209,夬,13
1483,尸,601,卩,13
1620,已,1621,巳,13
1742,弛,6836,驰,13
2083,抉,2074,扶,13
2235,掰,2290,搿,13
2436,昂,2457,昴,13
2537,末,2536,未,13
2564,来,4677,耒,13
2967,汩,2966,汨,13
3125,涌,5674,诵,13
4775,胧,2461,昽,13
5618,论,2999,沦,13
5628,诅,3006,沮,13
5652,诞,3126,涎,13
5731,谰,3322,澜,13
60,乖,61,乘,12
192,住,6615,隹,12
1807,徽,1803,微,12
2141,拨,2126,拔,12
2352,攵,1191,夂,12
2370,敞,2369,敝,12
2466,晌,798,响,12
2485,晴,4818,腈,12
2581,构,2607,枸,12
2975,汽,2955,汔,12
3006,沮,5628,诅,12
3062,洒,6201,酒,12
3175,淳,5691,谆,12
4264,竞,4265,竟,12
5041,茵,5118,菌,12
5096,莨,5029,茛,12
5596,订,2946,汀,12
5605,讫,2955,汔,12
5621,设,2995,没,12
6085,逢,6064,逄,12
6201,酒,3062,洒,12
6399,锋,6343,铎,12
57,乒,380,兵,11
164,优,160,伏,11
352,儿,431,几,11
355,元,2416,无,11
678,叼,660,叨,11
1045,坊,1032,圬,11
1277,姐,1270,妲,11
1934,惊,1933,惇,11
2105,抵,2076,扺,11
2966,汨,2967,汩,11
3035,波,5638,诐,11
3039,泪,3006,沮,11
3156,淆,3108,浠,11
3789,疗,3787,疔,11
4146,祟,1567,崇,11
4296,第,4295,笫,11
5042,茶,5082,荼,11
5608,讯,2958,汛,11
6333,铃,6302,钤,11
6368,铬,6369,铭,11
7030,鸠,7038,鸩,11
152,份,172,伤,10
416,冷,3033,泠,10
431,几,352,儿,10
598,卤,1027,土,10
777,咪,746,味,10
1709,庾,1712,廋,10
1797,徙,1793,徒,10
1829,快,1849,怏,10
2977,沁,3022,泌,10
3123,消,3159,淌,10
3151,涸,3057,洇,10
3322,澜,5731,谰,10
3479,爱,3478,爰,10
4517,绢,3128,涓,10
4675,耍,5551,要,10
4735,肠,2432,旸,10
4744,肮,2524,朊,10
5106,获,5081,荻,10
5199,蒽,5179,葸,10
5258,薛,5259,薜,10
5485,袆,4137,祎,10
5787,贷,5771,货,10
6026,迂,6025,迁,10
6032,运,6040,远,10
6721,顽,6727,颃,10
79,二,92,亠,9
129,仕,151,任,9
423,凇,3166,淞,9
446,函,445,凼,9
578,升,1727,开,9
639,叁,640,参,9
807,哗,805,哔,9
1667,干,576,千,9
2104,抱,2098,抢,9
2128,拗,1069,坳,9
2554,杏,2573,杳,9
2612,柏,2680,桕,9
2624,柠,2140,拧,9
2645,栏,2139,拦,9
2962,江,2950,汇,9
3053,泽,5639,译,9
3168,淡,5693,谈,9
3173,淮,5686,谁,9
3932,盲,4727,肓,9
3956,眯,2452,昧,9
3972,睢,6628,雎,9
4008,矛,76,予,9
4479,纺,1777,彷,9
4595,缴,1806,徼,9
4729,肘,2430,时,9
4733,肝,2427,旰,9
4933,艹,1725,廾,9
5019,茉,5038,茱,9
5106,获,5037,茯,9
5116,菇,5044,茹,9
5372,蜓,5371,蜒,9
5633,诋,3031,泜,9
5690,谅,424,凉,9
5702,谒,3202,渴,9
5736,谵,3329,澹,9
5828,赢,5445,蠃,9
6237,醒,6219,酲,9
7108,麋,7106,麇,9
15,且,2419,旦,8
68,乡,1765,彡,8
106,亳,2908,毫,8
118,仅,646,反,8
172,伤,152,份,8
199,余,198,佘,8
279,倍,262,信,8
370,入,372,八,8
372,八,110,人,8
465,创,469,刨,8
684,合,375,兮,8
701,吟,741,呤,8
999,囗,656,口,8
1349,嫒,1338,媛,8
1426,宫,1411,官,8
1477,尤,1476,尢,8
1562,峰,1549,峄,8
1784,径,4499,经,8
1890,恫,2676,桐,8
2018,戍,2017,戌,8
2018,戍,2021,成,8
2135,拢,2072,扰,8
2152,拼,2131,拚,8
2485,晴,3970,睛,8
2499,暧,2496,暖,8
2539,札,2055,扎,8
2542,朴,2056,扑,8
2626,查,2573,杳,8
2628,柬,2561,束,8
2667,桃,2162,挑,8
3012,治,415,冶,8
3053,泽,3065,洚,8
3202,渴,5702,谒,8
3258,滔,5689,谄,8
3481,父,1191,夂,8
3608,王,86,五,8
3853,瘐,3864,瘦,8
3908,皿,1001,四,8
4262,竖,1053,坚,8
4741,肪,4734,肟,8
4815,脸,3968,睑,8
5145,萎,5186,蒌,8
5395,蝎,5386,蜴,8
5495,袪,4142,祛,8
5634,诌,5689,谄,8
5681,诼,3152,涿,8
5690,谅,5691,谆,8
5735,谴,6110,遣,8
5828,赢,1367,嬴,8
5896,踏,5924,蹐,8
6018,辫,6017,辩,8
6423,锤,6444,锺,8
6562,阳,6563,阴,8
6853,骂,4276,笃,8
49,么,1672,幺,7
51,之,93,亡,7
58,乓,380,兵,7
93,亡,5594,讠,7
102,京,101,享,7
176,伪,115,仂,7
184,伺,196,何,7
344,僳,323,傈,7
382,具,638,县,7
415,冶,5640,诒,7
438,凳,3889,登,7
490,剌,480,刺,7
646,反,118,仅,7
1050,坐,3740,生,7
1184,士,1027,土,7
1467,小,1809,忄,7
1471,尖,1472,尘,7
1477,尤,3524,犬,7
1726,廿,3736,甘,7
1796,徘,272,俳,7
1850,怒,1879,恕,7
1988,慨,2770,概,7
2149,拴,2113,拄,7
2183,挽,2199,换,7
2423,旬,658,句,7
2453,昨,758,咋,7
2536,未,2537,末,7
2585,析,2092,折,7
2593,枢,2096,抠,7
2666,桂,2157,挂,7
