class_id,train_support,test_support,support_tier,top1_accuracy,recall
0,765,201,head,0.9950248756218906,0.9950248756218906
1,541,144,head,0.9930555555555556,0.9930555555555556
2,537,142,mid,0.9647887323943662,0.9647887323943662
3,540,141,mid,0.8865248226950354,0.8865248226950354
4,540,143,mid,0.9090909090909091,0.9090909090909091
5,540,145,mid,0.9724137931034482,0.9724137931034482
6,537,144,mid,0.9375,0.9375
7,538,144,mid,0.9236111111111112,0.9236111111111112
8,541,144,head,0.9375,0.9375
9,214,59,tail,0.9661016949152542,0.9661016949152542
10,544,142,head,0.9295774647887324,0.9295774647887324
11,542,144,head,0.9930555555555556,0.9930555555555556
12,314,83,mid,0.9879518072289156,0.9879518072289156
13,543,143,head,0.965034965034965,0.965034965034965
14,540,143,mid,0.9440559440559441,0.9440559440559441
15,540,141,mid,0.8865248226950354,0.8865248226950354
16,216,59,tail,1.0,1.0
17,539,144,mid,0.9861111111111112,0.9861111111111112
18,534,145,mid,0.9655172413793104,0.9655172413793104
19,543,143,head,0.9440559440559441,0.9440559440559441
20,543,143,head,0.958041958041958,0.958041958041958
21,543,139,head,0.9712230215827338,0.9712230215827338
22,541,142,head,0.9225352112676056,0.9225352112676056
23,537,142,mid,0.9577464788732394,0.9577464788732394
24,216,59,tail,1.0,1.0
25,540,140,mid,0.9571428571428572,0.9571428571428572
26,539,141,mid,0.950354609929078,0.950354609929078
27,538,143,mid,0.9790209790209791,0.9790209790209791
28,536,142,mid,0.9577464788732394,0.9577464788732394
29,216,59,tail,1.0,1.0
30,542,142,head,0.9647887323943662,0.9647887323943662
31,538,144,mid,0.9652777777777778,0.9652777777777778
32,216,60,tail,0.9666666666666667,0.9666666666666667
33,537,143,mid,0.916083916083916,0.916083916083916
34,540,141,mid,0.9148936170212766,0.9148936170212766
35,540,142,mid,0.9647887323943662,0.9647887323943662
36,538,143,mid,0.972027972027972,0.972027972027972
37,216,59,tail,1.0,1.0
38,539,144,mid,0.9930555555555556,0.9930555555555556
39,539,140,mid,0.9571428571428572,0.9571428571428572
40,536,142,mid,0.9084507042253521,0.9084507042253521
41,540,141,mid,0.9219858156028369,0.9219858156028369
42,538,142,mid,0.971830985915493,0.971830985915493
43,540,142,mid,0.9929577464788732,0.9929577464788732
44,216,59,tail,0.9830508474576272,0.9830508474576272
45,213,60,tail,0.9166666666666666,0.9166666666666666
46,535,142,mid,0.9436619718309859,0.9436619718309859
