target,target_label,prediction,prediction_label,count
656,口,999,囗,85
1370,子,1371,孑,81
3623,玫,3616,玟,62
51,之,6021,辶,60
5620,讽,3001,沨,55
5483,袄,4134,祆,54
5677,诸,3190,渚,52
1184,士,598,卤,51
2987,沐,3005,沭,51
3864,瘦,3853,瘐,51
5666,语,3116,浯,51
480,刺,490,剌,50
3113,浩,5669,诰,49
3063,洗,418,冼,48
5680,读,3184,渎,48
6397,锉,4016,矬,48
3083,洼,5644,诖,47
3013,沼,5637,诏,44
2780,榛,2764,楱,43
3481,父,2352,攵,43
660,叨,678,叼,42
2496,暖,2499,暧,40
5524,裸,4158,祼,40
2962,江,5601,讧,39
3191,渝,5705,谕,39
3012,治,5640,诒,38
3099,浑,5662,诨,38
1829,快,1849,怏,37
5106,获,5107,莸,37
5700,谐,3216,湝,37
3039,泪,2966,汨,36
3055,洁,5646,诘,36
3275,滴,5725,谪,36
4747,育,4727,肓,36
199,余,198,佘,35
2997,沤,5612,讴,35
5649,诛,3064,洙,35
5719,谤,3250,滂,34
6333,铃,6302,钤,34
7030,鸠,7038,鸩,34
2512,曰,2418,日,33
3214,湛,5696,谌,33
4996,苟,4992,苘,33
5605,讫,2955,汔,33
5656,询,3079,洵,33
2956,汕,5604,讪,32
2975,汽,2955,汔,32
3009,河,5626,诃,32
3014,沽,5625,诂,32
3235,溢,5720,谥,32
3970,睛,2485,晴,32
192,住,6615,隹,31
1027,土,598,卤,31
2908,毫,106,亳,31
2957,汗,5600,讦,31
5034,茫,5039,茳,31
4744,肮,2524,朊,30
5732,谱,3315,潽,30
1456,寸,2053,扌,29
3284,漠,5714,谟,29
576,千,1667,干,28
3021,泊,3060,洎,28
3035,波,5638,诐,28
4436,系,4435,糸,28
5697,谍,3198,渫,27
2235,掰,2290,搿,26
3736,甘,1726,廿,26
1619,己,1620,已,25
3172,淬,5692,谇,25
4001,瞳,2505,曈,25
842,唧,877,啷,24
1210,夭,1206,天,24
1277,姐,1270,妲,24
6085,逢,6064,逄,24
6213,酪,6212,酩,24
7033,鸣,739,呜,24
2014,戈,1735,弋,23
2626,查,2573,杳,23
4775,胧,2461,昽,23
1208,夫,1209,夬,22
2947,汁,5595,计,22
2949,汆,2945,氽,22
5671,诲,3118,海,22
1620,已,1619,己,21
1621,巳,1620,已,21
2105,抵,2076,扺,21
3063,洗,5650,诜,21
3066,洛,3081,洺,21
3104,浙,3155,淅,21
3123,消,5667,诮,21
3814,疽,3811,疸,21
5864,跌,5856,趺,21
1796,徘,4529,绯,20
2958,汛,5608,讯,20
3902,皙,2484,晳,20
4338,算,4332,箅,20
4741,肪,4734,肟,20
5651,话,3082,活,20
66,也,63,乜,19
1045,坊,1032,圬,19
1477,尤,1476,尢,19
2074,扶,2083,抉,19
3199,渭,5703,谓,19
3288,漫,5724,谩,19
3935,盹,4742,肫,19
5693,谈,3168,淡,19
54,乎,2052,手,18
719,吹,735,呗,18
2418,日,2512,曰,18
2693,桶,2694,桷,18
2918,氏,2919,氐,18
2946,汀,5596,订,18
3118,海,5671,诲,18
3930,盯,4697,耵,18
4951,芜,4961,芫,18
5595,计,2947,汁,18
5674,诵,3125,涌,18
6576,陈,6564,阵,18
6721,顽,6727,颃,18
93,亡,5594,讠,17
416,冷,3033,泠,17
3126,涎,5652,诞,17
3175,淳,5691,谆,17
3180,清,5676,请,17
4264,竞,4265,竟,17
4628,羔,1880,恙,17
4725,肋,523,助,17
5106,获,5081,荻,17
5249,蕴,5247,蕰,17
153,仿,1777,彷,16
739,呜,7033,鸣,16
1144,堤,2249,提,16
2436,昂,2457,昴,16
3481,父,1191,夂,16
4508,给,4500,绐,16
4509,绚,1786,徇,16
4947,芒,4952,芝,16
5703,谓,3199,渭,16
5724,谩,3288,漫,16
47,久,1191,夂,15
99,亨,101,享,15
370,入,372,八,15
449,刁,448,刀,15
660,叨,677,叻,15
1185,壬,3608,王,15
1620,已,1621,巳,15
3125,涌,5674,诵,15
4265,竟,4264,竞,15
4411,粱,2695,梁,15
4754,肿,4757,胂,15
5621,设,2995,没,15
5686,谁,3173,淮,15
5691,谆,3175,淳,15
6423,锤,6444,锺,15
7029,鸟,52,乌,15
50,义,45,乂,14
1888,恩,1857,思,14
1934,惊,1933,惇,14
2564,来,4677,耒,14
3039,泪,3060,洎,14
3930,盯,3931,盱,14
3932,盲,4727,肓,14
5042,茶,5082,荼,14
5676,请,3180,清,14
5828,赢,5445,蠃,14
6325,钻,6318,钴,14
49,么,1672,幺,13
60,乖,61,乘,13
415,冶,3012,治,13
807,哗,805,哔,13
1699,度,1682,庋,13
2086,抒,2577,杼,13
2350,支,2351,攴,13
2679,桔,2699,梏,13
3003,沪,3049,泸,13
3006,沮,5628,诅,13
3151,涸,3057,洇,13
3623,玫,3612,玖,13
4024,矾,4039,砜,13
4296,第,4295,笫,13
4517,绢,3128,涓,13
4733,肝,2427,旰,13
5040,茴,4992,苘,13
5596,订,2946,汀,13
5628,诅,3006,沮,13
5652,诞,3126,涎,13
5728,谭,3307,潭,13
6201,酒,3062,洒,13
6399,锋,6343,铎,13
79,二,92,亠,12
176,伪,115,仂,12
446,函,445,凼,12
528,励,520,劢,12
1483,尸,601,卩,12
1767,彤,4732,肜,12
2466,晌,798,响,12
2485,晴,3970,睛,12
2945,氽,2949,汆,12
2967,汩,2966,汨,12
3019,泅,3028,泗,12
3082,活,5651,话,12
3479,爱,3478,爰,12
4458,纤,4455,纡,12
4479,纺,1777,彷,12
4595,缴,1806,徼,12
4854,膛,3992,瞠,12
5019,茉,5038,茱,12
5041,茵,5118,菌,12
5608,讯,2958,汛,12
5702,谒,3202,渴,12
6025,迁,6026,迂,12
6237,醒,6219,酲,12
371,全,134,仝,11
431,几,352,儿,11
684,合,375,兮,11
1056,坝,1048,坎,11
1807,徽,1803,微,11
2143,括,2651,栝,11
2370,敞,2369,敝,11
2453,昨,4766,胙,11
2536,未,2537,末,11
2554,杏,2573,杳,11
2612,柏,2680,桕,11
2642,栋,2644,栎,11
2905,毛,48,乇,11
2995,没,5621,设,11
3053,泽,5639,译,11
3258,滔,5689,谄,11
3380,炮,3375,炝,11
3789,疗,3787,疔,11
3909,盂,1382,孟,11
4146,祟,1567,崇,11
4488,组,1783,徂,11
5145,萎,5186,蒌,11
5467,衣,5468,衤,11
5634,诌,5689,谄,11
5635,词,5626,诃,11
5639,译,3053,泽,11
5731,谰,3322,澜,11
5787,贷,5771,货,11
6032,运,6040,远,11
129,仕,151,任,10
215,佳,6615,隹,10
231,侗,287,倜,10
355,元,2416,无,10
599,卦,6279,钋,10
701,吟,741,呤,10
777,咪,746,味,10
1012,囱,1004,囟,10
1018,图,1015,囹,10
1048,坎,1056,坝,10
1271,妹,1286,姝,10
1473,尚,4992,苘,10
1562,峰,1549,峄,10
1709,庾,1712,廋,10
1797,徙,1793,徒,10
2228,控,2163,挖,10
2478,晤,835,唔,10
2485,晴,4818,腈,10
2581,构,2607,枸,10
2624,柠,2140,拧,10
2817,橄,2316,撖,10
3291,漱,3334,濑,10
4008,矛,76,予,10
4184,秕,2582,枇,10
4260,立,6021,辶,10
4503,结,5646,诘,10
4533,绳,3186,渑,10
4542,综,3164,淙,10
4735,肠,2432,旸,10
4811,脯,2477,晡,10
