target,target_label,prediction,prediction_label,count
656,口,999,囗,47
660,叨,678,叼,45
3970,睛,2485,晴,43
2780,榛,2764,楱,41
7033,鸣,739,呜,37
6397,锉,4016,矬,31
1370,子,1371,孑,30
2235,掰,2290,搿,30
2512,曰,2418,日,30
5595,计,2947,汁,30
576,千,1667,干,29
1620,已,1619,己,29
7029,鸟,52,乌,28
1619,己,1620,已,26
5620,讽,3001,沨,26
1210,夭,1206,天,25
1621,巳,1620,已,25
2946,汀,5596,订,24
5652,诞,3126,涎,24
5674,诵,3125,涌,24
739,呜,7033,鸣,23
1184,士,598,卤,23
2949,汆,2945,氽,23
3062,洒,6201,酒,23
3481,父,2352,攵,23
5677,诸,3190,渚,23
5700,谐,3216,湝,23
5703,谓,3199,渭,23
5372,蜓,5371,蜒,22
5639,译,3053,泽,22
5651,话,3082,活,22
5691,谆,3175,淳,22
5697,谍,3198,渫,22
5719,谤,3250,滂,22
5724,谩,3288,漫,22
5728,谭,3307,潭,22
2418,日,2512,曰,21
3180,清,5676,请,21
4947,芒,4952,芝,21
5524,裸,4158,祼,21
5671,诲,3118,海,21
5680,读,3184,渎,21
415,冶,3012,治,20
4265,竟,4264,竞,20
4747,育,4727,肓,20
5666,语,3116,浯,20
2074,扶,2083,抉,19
2496,暖,2499,暧,19
3082,活,5651,话,19
5596,订,2946,汀,19
5649,诛,3064,洙,19
3123,消,3159,淌,18
3125,涌,5674,诵,18
4264,竞,4265,竟,18
5628,诅,3006,沮,18
5660,详,3058,洋,18
5676,请,3180,清,18
5731,谰,3322,澜,18
480,刺,490,剌,17
1185,壬,3608,王,17
1796,徘,4529,绯,17
1797,徙,1793,徒,17
3104,浙,3155,淅,17
3623,玫,3616,玟,17
5483,袄,4134,祆,17
5621,设,2995,没,17
5732,谱,3315,潽,17
6576,陈,6564,阵,17
60,乖,61,乘,16
1144,堤,2249,提,16
3935,盹,4742,肫,16
4338,算,4332,箅,16
4411,粱,2695,梁,16
4725,肋,523,助,16
5656,询,3079,洵,16
6018,辫,6017,辩,16
99,亨,101,享,15
192,住,6615,隹,15
352,儿,431,几,15
1456,寸,2053,扌,15
2370,敞,2369,敝,15
2423,旬,3755,甸,15
2947,汁,5595,计,15
2956,汕,5604,讪,15
2958,汛,5608,讯,15
3199,渭,5703,谓,15
3288,漫,5724,谩,15
5388,蜻,5409,蝽,15
5618,论,2999,沦,15
6025,迁,6026,迂,15
7030,鸠,7038,鸩,15
54,乎,2052,手,14
433,凤,6760,风,14
449,刁,448,刀,14
1620,已,1621,巳,14
1784,径,4499,经,14
2485,晴,3970,睛,14
3099,浑,5662,诨,14
3284,漠,5714,谟,14
3902,皙,2484,晳,14
5041,茵,5118,菌,14
5145,萎,5186,蒌,14
5550,西,6193,酉,14
5608,讯,2958,汛,14
5693,谈,3168,淡,14
6212,酩,6213,酪,14
51,之,6021,辶,13
162,休,195,体,13
1027,土,598,卤,13
1742,弛,6836,驰,13
1857,思,1888,恩,13
1888,恩,1857,思,13
2083,抉,2074,扶,13
2537,末,2536,未,13
2564,来,4677,耒,13
2908,毫,106,亳,13
2997,沤,5612,讴,13
2999,沦,5618,论,13
3021,泊,3060,洎,13
3055,洁,5646,诘,13
3083,洼,5644,诖,13
3623,玫,3612,玖,13
3814,疽,3811,疸,13
3853,瘐,3864,瘦,13
4775,胧,2461,昽,13
4854,膛,3992,瞠,13
5123,菜,5101,莱,13
5633,诋,3031,泜,13
5686,谁,3173,淮,13
5702,谒,3202,渴,13
5828,赢,1367,嬴,13
15,且,2419,旦,12
52,乌,7029,鸟,12
129,仕,151,任,12
578,升,1727,开,12
604,卯,609,卵,12
842,唧,877,啷,12
999,囗,656,口,12
1371,孑,1370,子,12
1970,感,1936,惑,12
2128,拗,1069,坳,12
2141,拨,2126,拔,12
2945,氽,2949,汆,12
3009,河,5626,诃,12
3118,海,5671,诲,12
3172,淬,5692,谇,12
3175,淳,5691,谆,12
3275,滴,5725,谪,12
3322,澜,5731,谰,12
3884,癞,3886,癫,12
3909,盂,1382,孟,12
4996,苟,4992,苘,12
5864,跌,5856,趺,12
6032,运,6040,远,12
57,乒,380,兵,11
279,倍,262,信,11
355,元,2416,无,11
1048,坎,1056,坝,11
1277,姐,1270,妲,11
2484,晳,3902,皙,11
2628,柬,2561,束,11
2693,桶,2186,捅,11
2957,汗,5600,讦,11
2967,汩,2966,汨,11
2987,沐,3005,沭,11
3476,爪,3717,瓜,11
3972,睢,6628,雎,11
4137,祎,5485,袆,11
4296,第,4295,笫,11
4675,耍,5551,要,11
5615,讷,2969,汭,11
5690,谅,5691,谆,11
5787,贷,5771,货,11
6026,迂,6025,迁,11
6413,错,6411,锗,11
6508,闭,6513,闲,11
7108,麋,7106,麇,11
152,份,172,伤,10
262,信,279,倍,10
323,傈,344,僳,10
490,剌,480,刺,10
639,叁,640,参,10
777,咪,746,味,10
1349,嫒,1338,媛,10
1477,尤,3524,犬,10
1934,惊,1933,惇,10
2228,控,2163,挖,10
2466,晌,798,响,10
2536,未,2537,末,10
2624,柠,2140,拧,10
2666,桂,2157,挂,10
2962,江,2950,汇,10
3058,洋,5660,详,10
3063,洗,418,冼,10
3063,洗,5650,诜,10
3113,浩,5669,诰,10
3307,潭,5728,谭,10
4146,祟,1567,崇,10
4158,祼,5524,裸,10
4588,缭,3306,潦,10
4744,肮,2524,朊,10
5096,莨,5029,茛,10
5101,莱,5123,菜,10
5106,获,5107,莸,10
5116,菇,5044,茹,10
5249,蕴,5247,蕰,10
6423,锤,6444,锺,10
118,仅,646,反,9
146,仲,183,伸,9
164,优,160,伏,9
199,余,198,佘,9
364,兔,362,免,9
382,具,638,县,9
423,凇,3166,淞,9
539,勒,543,勤,9
557,匕,3,七,9
719,吹,735,呗,9
785,咸,2021,成,9
1003,回,1001,四,9
1375,字,1402,宇,9
1709,庾,1712,廋,9
1723,廷,1722,延,9
1807,徽,1804,徵,9
1829,快,1849,怏,9
2494,暌,3980,睽,9
2645,栏,2139,拦,9
2667,桃,2162,挑,9
2695,梁,4411,粱,9
2719,棒,2201,捧,9
2977,沁,3022,泌,9
2995,没,5621,设,9
3006,沮,5628,诅,9
3014,沽,5625,诂,9
3126,涎,5652,诞,9
3173,淮,5686,谁,9
3191,渝,5705,谕,9
3377,炫,3406,烩,9
4008,矛,76,予,9
4434,糵,5282,蘖,9
4436,系,4435,糸,9
4517,绢,4555,缉,9
4618,署,2495,暑,9
4659,翩,4660,翮,9
4754,肿,4757,胂,9
5042,茶,5082,荼,9
5107,莸,5106,获,9
5258,薛,5259,薜,9
5485,袆,4137,祎,9
5640,诒,3012,治,9
5644,诖,3083,洼,9
5681,诼,3152,涿,9
5736,谵,3329,澹,9
6017,辩,6018,辫,9
6277,钉,6280,钌,9
6404,锐,6460,镋,9
6853,骂,4276,笃,9
4,万,617,厅,8
58,乓,380,兵,8
106,亳,2908,毫,8
122,今,139,令,8
184,伺,196,何,8
252,俏,284,倘,8
396,冒,2441,昌,8
431,几,352,儿,8
465,创,469,刨,8
646,反,118,仅,8
1056,坝,1048,坎,8
1075,垃,2118,拉,8
1228,奏,4189,秦,8
1382,孟,3909,盂,8
1807,徽,1803,微,8
1905,悄,1941,惝,8
1988,慨,2770,概,8
2017,戌,2018,戍,8
2018,戍,2017,戌,8
2436,昂,2457,昴,8
2495,暑,4618,署,8
2499,暧,2496,暖,8
2539,札,2055,扎,8
2569,杭,2091,抗,8
2585,析,2092,折,8
2642,栋,2644,栎,8
2650,栗,4405,粟,8
2772,榆,2243,揄,8
2803,槽,4430,糟,8
2894,毋,2895,母,8
2921,氓,3042,泯,8
2950,汇,2962,江,8
2962,江,5601,讧,8
2966,汨,2967,汩,8
3159,淌,3123,消,8
3161,淑,3226,溆,8
3235,溢,5720,谥,8
3585,猬,3560,狷,8
3608,王,86,五,8
3789,疗,3787,疔,8
3798,疤,3806,疱,8
3811,疸,3814,疽,8
3949,眠,3962,眼,8
3989,瞑,2498,暝,8
4191,秩,4190,秧,8
4327,筹,4306,等,8
4729,肘,2430,时,8
4740,肩,2046,扃,8
4741,肪,4734,肟,8
4769,胜,4808,脞,8
4816,脾,3974,睥,8
4950,芙,5059,荚,8
4961,芫,4951,芜,8
4996,苟,5047,荀,8
5003,苫,5002,苦,8
5029,茛,5096,莨,8
5463,街,5462,衔,8
5561,觉,367,党,8
5626,诃,3009,河,8
5662,诨,3099,浑,8
5667,诮,3123,消,8
5762,贝,2840,欠,8
5797,赁,435,凭,8
5828,赢,5445,蠃,8
6040,远,6032,运,8
6071,透,6091,逶,8
6193,酉,5550,西,8
6201,酒,3062,洒,8
6509,问,6515,间,8
6563,阴,6562,阳,8
6721,顽,6727,颃,8
28,丧,5470,表,7
33,中,3752,申,7
49,么,1672,幺,7
51,之,93,亡,7
79,二,92,亠,7
81,于,1667,干,7
82,亏,1738,弓,7
215,佳,6615,隹,7
246,便,221,使,7
355,元,94,亢,7
418,冼,3063,洗,7
438,凳,3889,登,7
448,刀,449,刁,7
449,刁,67,习,7
581,半,34,丰,7
609,卵,604,卯,7
678,叼,660,叨,7
