class_id,train_support,test_support,support_tier,top1_accuracy,recall
0,765,201,head,0.9850746268656716,0.9850746268656716
1,541,144,head,1.0,1.0
2,537,142,mid,0.9507042253521126,0.9507042253521126
3,540,141,mid,0.9148936170212766,0.9148936170212766
4,540,143,mid,0.916083916083916,0.916083916083916
5,540,145,mid,0.9586206896551724,0.9586206896551724
6,537,144,mid,0.9861111111111112,0.9861111111111112
7,538,144,mid,0.8958333333333334,0.8958333333333334
8,541,144,head,0.9513888888888888,0.9513888888888888
9,214,59,tail,0.9830508474576272,0.9830508474576272
10,544,142,head,0.9436619718309859,0.9436619718309859
11,542,144,head,0.9513888888888888,0.9513888888888888
12,314,83,mid,0.963855421686747,0.963855421686747
13,543,143,head,0.965034965034965,0.965034965034965
14,540,143,mid,0.9230769230769231,0.9230769230769231
15,540,141,mid,0.8368794326241135,0.8368794326241135
16,216,59,tail,0.9830508474576272,0.9830508474576272
17,539,144,mid,0.9583333333333334,0.9583333333333334
18,534,145,mid,0.9655172413793104,0.9655172413793104
19,543,143,head,0.9300699300699301,0.9300699300699301
20,543,143,head,0.951048951048951,0.951048951048951
21,543,139,head,0.9856115107913669,0.9856115107913669
22,541,142,head,0.9225352112676056,0.9225352112676056
23,537,142,mid,0.971830985915493,0.971830985915493
24,216,59,tail,0.9661016949152542,0.9661016949152542
25,540,140,mid,0.9428571428571428,0.9428571428571428
26,539,141,mid,0.9148936170212766,0.9148936170212766
27,538,143,mid,0.965034965034965,0.965034965034965
28,536,142,mid,0.8873239436619719,0.8873239436619719
29,216,59,tail,0.9830508474576272,0.9830508474576272
30,542,142,head,0.9788732394366197,0.9788732394366197
31,538,144,mid,0.9375,0.9375
32,216,60,tail,0.95,0.95
33,537,143,mid,0.9020979020979021,0.9020979020979021
34,540,141,mid,0.9219858156028369,0.9219858156028369
35,540,142,mid,0.9507042253521126,0.9507042253521126
36,538,143,mid,0.9370629370629371,0.9370629370629371
37,216,59,tail,1.0,1.0
38,539,144,mid,0.9861111111111112,0.9861111111111112
39,539,140,mid,0.9285714285714286,0.9285714285714286
40,536,142,mid,0.9225352112676056,0.9225352112676056
41,540,141,mid,0.9148936170212766,0.9148936170212766
42,538,142,mid,0.9859154929577465,0.9859154929577465
43,540,142,mid,0.9647887323943662,0.9647887323943662
44,216,59,tail,0.9830508474576272,0.9830508474576272
45,213,60,tail,0.9333333333333333,0.9333333333333333
46,535,142,mid,0.9225352112676056,0.9225352112676056
47,541,144,head,0.9027777777777778,0.9027777777777778
48,216,57,tail,0.9649122807017544,0.9649122807017544
49,533,144,mid,0.9027777777777778,0.9027777777777778
50,540,144,mid,0.8888888888888888,0.8888888888888888
51,543,145,head,0.6275862068965518,0.6275862068965518
52,540,143,mid,0.8461538461538461,0.8461538461538461
53,540,143,mid,0.972027972027972,0.972027972027972
54,540,142,mid,0.8309859154929577,0.8309859154929577
