target,target_label,prediction,prediction_label,count
7033,鸣,739,呜,42
3970,睛,2485,晴,40
656,口,999,囗,37
660,叨,678,叼,37
1370,子,1371,孑,34
5595,计,2947,汁,31
2780,榛,2764,楱,30
7029,鸟,52,乌,30
1619,己,1620,已,28
2512,曰,2418,日,28
576,千,1667,干,27
1620,已,1619,己,26
5652,诞,3126,涎,26
5671,诲,3118,海,26
5674,诵,3125,涌,26
5691,谆,3175,淳,26
2074,扶,2083,抉,25
1184,士,598,卤,24
1210,夭,1206,天,24
5651,话,3082,活,24
5703,谓,3199,渭,24
480,刺,490,剌,23
5621,设,2995,没,23
5677,诸,3190,渚,23
5731,谰,3322,澜,23
2949,汆,2945,氽,22
5620,讽,3001,沨,22
5649,诛,3064,洙,22
6397,锉,4016,矬,22
1621,巳,1620,已,21
3062,洒,6201,酒,21
5628,诅,3006,沮,21
5719,谤,3250,滂,21
1620,已,1621,巳,20
2418,日,2512,曰,20
2946,汀,5596,订,20
4411,粱,2695,梁,20
5676,请,3180,清,20
5693,谈,3168,淡,20
5697,谍,3198,渫,20
5724,谩,3288,漫,20
5728,谭,3307,潭,20
3481,父,2352,攵,19
4264,竞,4265,竟,19
4265,竟,4264,竞,19
5680,读,3184,渎,19
4725,肋,523,助,18
4747,育,4727,肓,18
5666,语,3116,浯,18
739,呜,7033,鸣,17
4947,芒,4952,芝,17
5608,讯,2958,汛,17
5686,谁,3173,淮,17
6576,陈,6564,阵,17
99,亨,101,享,16
1144,堤,2249,提,16
1185,壬,3608,王,16
2235,掰,2290,搿,16
2370,敞,2369,敝,16
2485,晴,3970,睛,16
5524,裸,4158,祼,16
5618,论,2999,沦,16
5639,译,3053,泽,16
5700,谐,3216,湝,16
5732,谱,3315,潽,16
415,冶,3012,治,15
1784,径,4499,经,15
1797,徙,1793,徒,15
5596,订,2946,汀,15
5656,询,3079,洵,15
54,乎,2052,手,14
1888,恩,1857,思,14
2958,汛,5608,讯,14
3099,浑,5662,诨,14
3902,皙,2484,晳,14
5660,详,3058,洋,14
5681,诼,3152,涿,14
60,乖,61,乘,13
279,倍,262,信,13
449,刁,448,刀,13
999,囗,656,口,13
1027,土,598,卤,13
1807,徽,1803,微,13
2083,抉,2074,扶,13
2536,未,2537,末,13
2945,氽,2949,汆,13
2977,沁,3022,泌,13
3082,活,5651,话,13
3083,洼,5644,诖,13
3125,涌,5674,诵,13
3175,淳,5691,谆,13
3180,清,5676,请,13
3284,漠,5714,谟,13
3623,玫,3612,玖,13
4338,算,4332,箅,13
4675,耍,5551,要,13
5199,蒽,5179,葸,13
5828,赢,5445,蠃,13
6212,酩,6213,酪,13
6307,钩,6305,钧,13
129,仕,151,任,12
777,咪,746,味,12
3307,潭,5728,谭,12
3623,玫,3616,玟,12
3853,瘐,3864,瘦,12
4961,芫,4951,芜,12
5101,莱,5123,菜,12
5145,萎,5186,蒌,12
5372,蜓,5371,蜒,12
5483,袄,4134,祆,12
6025,迁,6026,迂,12
7108,麋,7106,麇,12
15,且,2419,旦,11
57,乒,380,兵,11
355,元,2416,无,11
418,冼,3063,洗,11
431,几,352,儿,11
578,升,1727,开,11
1277,姐,1270,妲,11
1796,徘,4529,绯,11
2141,拨,2126,拔,11
2466,晌,798,响,11
2484,晳,3902,皙,11
2957,汗,5600,讦,11
2995,没,5621,设,11
2999,沦,5618,论,11
3039,泪,3006,沮,11
3055,洁,5646,诘,11
3104,浙,3155,淅,11
3118,海,5671,诲,11
3123,消,3159,淌,11
3909,盂,1382,孟,11
5041,茵,5118,菌,11
5096,莨,5029,茛,11
5550,西,6193,酉,11
51,之,93,亡,10
106,亳,2908,毫,10
118,仅,646,反,10
352,儿,431,几,10
433,凤,6760,风,10
490,剌,480,刺,10
609,卵,604,卯,10
639,叁,640,参,10
678,叼,660,叨,10
1208,夫,1209,夬,10
1349,嫒,1338,媛,10
1367,嬴,5828,赢,10
1456,寸,2053,扌,10
1857,思,1888,恩,10
1934,惊,1933,惇,10
2537,末,2536,未,10
2561,束,2628,柬,10
2569,杭,2091,抗,10
2624,柠,2140,拧,10
2667,桃,2162,挑,10
2908,毫,106,亳,10
2947,汁,5595,计,10
2956,汕,5604,讪,10
2967,汩,2966,汨,10
2997,沤,5612,讴,10
3126,涎,5652,诞,10
3288,漫,5724,谩,10
3612,玖,3623,玫,10
3864,瘦,3853,瘐,10
3935,盹,4742,肫,10
4134,祆,5483,袄,10
4137,祎,5485,袆,10
4146,祟,1567,崇,10
4434,糵,5282,蘖,10
4618,署,2495,暑,10
5019,茉,5038,茱,10
5106,获,5107,莸,10
5116,菇,5044,茹,10
5615,讷,2969,汭,10
5633,诋,3031,泜,10
5696,谌,3214,湛,10
5787,贷,5771,货,10
6017,辩,6018,辫,10
6026,迂,6025,迁,10
6032,运,6040,远,10
6237,醒,6219,酲,10
51,之,6021,辶,9
152,份,172,伤,9
162,休,195,体,9
184,伺,196,何,9
465,创,469,刨,9
494,剔,471,别,9
1048,坎,1056,坝,9
1296,威,785,咸,9
