class_id,train_support,test_support,support_tier,top1_accuracy,recall
0,765,201,head,0.9950248756218906,0.9950248756218906
1,541,144,head,1.0,1.0
2,537,142,mid,0.9647887323943662,0.9647887323943662
3,540,141,mid,0.8936170212765957,0.8936170212765957
4,540,143,mid,0.9020979020979021,0.9020979020979021
5,540,145,mid,0.9724137931034482,0.9724137931034482
6,537,144,mid,0.9722222222222222,0.9722222222222222
7,538,144,mid,0.9444444444444444,0.9444444444444444
8,541,144,head,0.9583333333333334,0.9583333333333334
9,214,59,tail,0.9830508474576272,0.9830508474576272
10,544,142,head,0.9647887323943662,0.9647887323943662
11,542,144,head,0.9583333333333334,0.9583333333333334
12,314,83,mid,0.9879518072289156,0.9879518072289156
13,543,143,head,0.958041958041958,0.958041958041958
14,540,143,mid,0.965034965034965,0.965034965034965
15,540,141,mid,0.8368794326241135,0.8368794326241135
16,216,59,tail,0.9830508474576272,0.9830508474576272
17,539,144,mid,0.9791666666666666,0.9791666666666666
18,534,145,mid,0.9655172413793104,0.9655172413793104
19,543,143,head,0.951048951048951,0.951048951048951
20,543,143,head,0.951048951048951,0.951048951048951
21,543,139,head,0.9928057553956835,0.9928057553956835
22,541,142,head,0.9295774647887324,0.9295774647887324
23,537,142,mid,0.971830985915493,0.971830985915493
24,216,59,tail,0.9661016949152542,0.9661016949152542
25,540,140,mid,0.9571428571428572,0.9571428571428572
26,539,141,mid,0.9361702127659575,0.9361702127659575
27,538,143,mid,0.9790209790209791,0.9790209790209791
28,536,142,mid,0.9154929577464789,0.9154929577464789
29,216,59,tail,0.9830508474576272,0.9830508474576272
30,542,142,head,0.971830985915493,0.971830985915493
31,538,144,mid,0.9652777777777778,0.9652777777777778
32,216,60,tail,0.9333333333333333,0.9333333333333333
33,537,143,mid,0.8951048951048951,0.8951048951048951
34,540,141,mid,0.9148936170212766,0.9148936170212766
35,540,142,mid,0.971830985915493,0.971830985915493
36,538,143,mid,0.9440559440559441,0.9440559440559441
37,216,59,tail,1.0,1.0
38,539,144,mid,0.9930555555555556,0.9930555555555556
39,539,140,mid,0.9428571428571428,0.9428571428571428
40,536,142,mid,0.9366197183098591,0.9366197183098591
41,540,141,mid,0.9078014184397163,0.9078014184397163
42,538,142,mid,0.971830985915493,0.971830985915493
43,540,142,mid,0.971830985915493,0.971830985915493
44,216,59,tail,0.9830508474576272,0.9830508474576272
45,213,60,tail,0.9333333333333333,0.9333333333333333
46,535,142,mid,0.9366197183098591,0.9366197183098591
47,541,144,head,0.9513888888888888,0.9513888888888888
48,216,57,tail,0.9122807017543859,0.9122807017543859
49,533,144,mid,0.9375,0.9375
50,540,144,mid,0.9444444444444444,0.9444444444444444
51,543,145,head,0.7862068965517242,0.7862068965517242
52,540,143,mid,0.9440559440559441,0.9440559440559441
53,540,143,mid,0.958041958041958,0.958041958041958
54,540,142,mid,0.8169014084507042,0.8169014084507042
55,539,142,mid,0.9436619718309859,0.9436619718309859
56,538,142,mid,0.9225352112676056,0.9225352112676056
57,521,140,mid,0.9142857142857143,0.9142857142857143
58,531,143,mid,0.9300699300699301,0.9300699300699301
59,539,143,mid,0.9790209790209791,0.9790209790209791
60,513,135,mid,0.8814814814814815,0.8814814814814815
61,549,141,head,0.8936170212765957,0.8936170212765957
62,537,144,mid,0.9652777777777778,0.9652777777777778
63,211,60,tail,0.9666666666666667,0.9666666666666667
64,541,143,head,0.986013986013986,0.986013986013986
65,534,143,mid,0.958041958041958,0.958041958041958
66,542,144,head,0.9722222222222222,0.9722222222222222
67,540,143,mid,0.9370629370629371,0.9370629370629371
68,537,144,mid,0.9652777777777778,0.9652777777777778
69,537,143,mid,0.9440559440559441,0.9440559440559441
70,215,60,tail,0.9833333333333333,0.9833333333333333
71,537,143,mid,0.9300699300699301,0.9300699300699301
72,540,142,mid,0.9929577464788732,0.9929577464788732
73,540,142,mid,1.0,1.0
74,538,144,mid,0.9861111111111112,0.9861111111111112
75,538,143,mid,0.9230769230769231,0.9230769230769231
76,542,143,head,0.9790209790209791,0.9790209790209791
77,540,144,mid,0.9861111111111112,0.9861111111111112
78,539,141,mid,0.9574468085106383,0.9574468085106383
79,542,142,head,0.8943661971830986,0.8943661971830986
80,215,58,tail,0.9137931034482759,0.9137931034482759
81,543,145,head,0.8620689655172413,0.8620689655172413
82,537,144,mid,0.9097222222222222,0.9097222222222222
83,541,144,head,0.9444444444444444,0.9444444444444444
84,541,142,head,0.9577464788732394,0.9577464788732394
85,216,60,tail,0.9833333333333333,0.9833333333333333
